timestamp,x,y,z,r,roll,pitch,yaw
1784217744.2907,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.3499,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.3988,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.4475,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.5250,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.5837,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.6481,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.7201,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.7814,320.0000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.8550,320.0006,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.9161,320.1329,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217744.9762,320.6651,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.0350,321.6175,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.0954,323.0684,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.1492,324.6270,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.2228,326.7769,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.2763,328.3358,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.3510,330.6141,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.4134,332.2929,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.4828,334.5712,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.5362,336.1301,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.5829,337.8088,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.6354,339.1279,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.6906,340.8066,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.7540,342.7252,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.8076,344.2841,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.8798,346.4425,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.9350,348.1213,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217745.9918,349.8000,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.0515,351.5987,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.1030,353.1576,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.1800,355.4359,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.2545,357.7142,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.3076,359.2731,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.3713,361.1917,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.4361,363.1103,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.5001,365.0289,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.5517,366.5877,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.6034,368.1466,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.6683,370.0652,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.7231,371.7440,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.7835,373.6626,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.8350,375.1014,0.0000,30.0000,105.0000,0.0,0.0,0.0
1784217746.8833,376.7802,0.0000,30.0000,105.0000,0.0,0.0,0.0
