timestamp,x,y,z,r
1784216190.5097,330.0000,0.0000,105.0000,105.0000
1784216190.5733,330.0000,0.0000,105.0000,105.0000
1784216190.6189,330.0000,0.0000,105.0000,105.0000
1784216190.6793,330.0000,0.0000,105.0000,105.0000
1784216190.7364,330.0000,0.0000,105.0000,105.0000
1784216190.7923,330.0000,0.0000,105.0000,105.0000
1784216190.8488,330.0000,0.0000,105.0000,105.0000
1784216190.9208,330.0000,0.0000,105.0000,105.0000
1784216190.9749,330.0000,0.0000,105.0000,105.0000
1784216191.0407,330.0000,0.0000,105.0000,105.0000
1784216191.1011,329.9993,0.0000,104.9834,105.0000
1784216191.1601,329.9872,0.0000,104.6967,105.0000
1784216191.2185,329.9588,0.0000,104.0222,105.0000
1784216191.2756,329.9131,0.0000,102.9363,105.0000
1784216191.3327,329.8529,0.0000,101.5064,105.0000
1784216191.4002,329.7702,0.0000,99.5437,105.0000
1784216191.4754,329.6693,0.0000,97.1464,105.0000
1784216191.5172,329.6239,0.0000,96.0676,105.0000
1784216191.5686,329.5583,0.0000,94.5092,105.0000
1784216191.6326,329.4775,0.0000,92.5912,105.0000
1784216191.7050,329.3867,0.0000,90.4335,105.0000
1784216191.7697,329.3160,0.0000,88.7553,105.0000
1784216191.8167,329.2454,0.0000,87.0771,105.0000
1784216191.8603,329.1898,0.0000,85.7585,105.0000
1784216191.9288,329.1040,0.0000,83.7207,105.0000
1784216192.0011,329.0132,0.0000,81.5629,105.0000
1784216192.0524,328.9425,0.0000,79.8847,105.0000
1784216192.1084,328.8769,0.0000,78.3264,105.0000
1784216192.1757,328.7860,0.0000,76.1687,105.0000
1784216192.2084,328.7406,0.0000,75.0898,105.0000
1784216192.2686,328.6750,0.0000,73.5315,105.0000
1784216192.3200,328.6094,0.0000,71.9731,105.0000
1784216192.3807,328.5337,0.0000,70.1750,105.0000
1784216192.4518,328.4428,0.0000,68.0173,105.0000
1784216192.5083,328.3722,0.0000,66.3391,105.0000
1784216192.5727,328.2914,0.0000,64.4211,105.0000
1784216192.6367,328.2157,0.0000,62.6230,105.0000
1784216192.7003,328.1299,0.0000,60.5852,105.0000
1784216192.7516,328.0643,0.0000,59.0269,105.0000
1784216192.8078,327.9936,0.0000,57.3486,105.0000
1784216192.8762,327.9028,0.0000,55.1909,105.0000
1784216192.9277,327.8523,0.0000,53.9922,105.0000
1784216192.9919,327.7614,0.0000,51.8345,105.0000
1784216193.0427,327.6908,0.0000,50.1562,105.0000
1784216193.1043,327.6201,0.0000,48.4780,105.0000
1784216193.1953,327.5141,0.0000,45.9607,105.0000
1784216193.2201,327.4738,0.0000,45.0017,105.0000
1784216193.2761,327.4031,0.0000,43.3235,105.0000
1784216193.3320,327.3324,0.0000,41.6453,105.0000
1784216193.3851,327.2668,0.0000,40.0869,105.0000
1784216193.4397,327.1961,0.0000,38.4087,105.0000
1784216193.4757,327.1406,0.0000,37.0901,105.0000
