timestamp,x,y,z,r,roll,pitch,yaw
1784215132.1276,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.1881,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.2393,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.2954,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.3597,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.4117,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.4758,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.5399,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.6122,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215132.6758,351.9999,0.0000,104.9998,105.0000,0.0,0.0,0.0
1784215132.7589,351.9209,0.0000,104.7415,105.0000,0.0,0.0,0.0
1784215132.7951,351.8189,0.0000,104.4079,105.0000,0.0,0.0,0.0
1784215132.8399,351.6394,0.0000,103.8212,105.0000,0.0,0.0,0.0
1784215132.9077,351.1935,0.0000,102.3634,105.0000,0.0,0.0,0.0
1784215132.9599,350.7820,0.0000,101.0180,105.0000,0.0,0.0,0.0
1784215133.0273,350.1929,0.0000,99.0921,105.0000,0.0,0.0,0.0
1784215133.0996,349.5614,0.0000,97.0278,105.0000,0.0,0.0,0.0
1784215133.1400,349.2107,0.0000,95.8811,105.0000,0.0,0.0,0.0
1784215133.2016,348.7546,0.0000,94.3902,105.0000,0.0,0.0,0.0
1784215133.2567,348.1934,0.0000,92.5553,105.0000,0.0,0.0,0.0
1784215133.3152,347.6672,0.0000,90.8351,105.0000,0.0,0.0,0.0
1784215133.3952,346.9656,0.0000,88.5415,105.0000,0.0,0.0,0.0
1784215133.4558,346.4395,0.0000,86.8213,105.0000,0.0,0.0,0.0
1784215133.5275,345.8080,0.0000,84.7570,105.0000,0.0,0.0,0.0
1784215133.5844,345.3170,0.0000,83.1515,105.0000,0.0,0.0,0.0
1784215133.6470,344.7556,0.0000,81.3166,105.0000,0.0,0.0,0.0
1784215133.7039,344.2646,0.0000,79.7110,105.0000,0.0,0.0,0.0
1784215133.7521,343.8436,0.0000,78.3349,105.0000,0.0,0.0,0.0
1784215133.7998,343.4227,0.0000,76.9587,105.0000,0.0,0.0,0.0
1784215133.8954,342.5808,0.0000,74.2064,105.0000,0.0,0.0,0.0
1784215133.9389,342.1949,0.0000,72.9449,105.0000,0.0,0.0,0.0
1784215133.9884,341.7740,0.0000,71.5687,105.0000,0.0,0.0,0.0
1784215134.0485,341.2478,0.0000,69.8485,105.0000,0.0,0.0,0.0
1784215134.1076,340.7216,0.0000,68.1282,105.0000,0.0,0.0,0.0
1784215134.1713,340.2305,0.0000,66.5227,105.0000,0.0,0.0,0.0
1784215134.2157,339.7744,0.0000,65.0319,105.0000,0.0,0.0,0.0
1784215134.2725,339.2834,0.0000,63.4263,105.0000,0.0,0.0,0.0
1784215134.3360,338.7221,0.0000,61.5915,105.0000,0.0,0.0,0.0
1784215134.3914,338.2310,0.0000,59.9859,105.0000,0.0,0.0,0.0
1784215134.4355,337.8451,0.0000,58.7244,105.0000,0.0,0.0,0.0
1784215134.4914,337.3540,0.0000,57.1189,105.0000,0.0,0.0,0.0
1784215134.5563,336.7928,0.0000,55.2840,105.0000,0.0,0.0,0.0
1784215134.5958,336.4420,0.0000,54.1372,105.0000,0.0,0.0,0.0
1784215134.6391,336.0561,0.0000,52.8757,105.0000,0.0,0.0,0.0
1784215134.6954,335.5650,0.0000,51.2702,105.0000,0.0,0.0,0.0
1784215134.7600,335.0037,0.0000,49.4353,105.0000,0.0,0.0,0.0
1784215134.8227,334.5126,0.0000,47.8298,105.0000,0.0,0.0,0.0
1784215134.8724,334.0215,0.0000,46.2242,105.0000,0.0,0.0,0.0
1784215134.9236,333.5655,0.0000,44.7334,105.0000,0.0,0.0,0.0
1784215134.9764,333.1095,0.0000,43.2425,105.0000,0.0,0.0,0.0
1784215135.0320,332.6183,0.0000,41.6370,105.0000,0.0,0.0,0.0
1784215135.0798,332.1974,0.0000,40.2608,105.0000,0.0,0.0,0.0
1784215135.1355,331.7063,0.0000,38.6553,105.0000,0.0,0.0,0.0
1784215135.2176,331.0398,0.0000,36.4763,105.0000,0.0,0.0,0.0
1784215135.2430,330.7592,0.0000,35.5589,105.0000,0.0,0.0,0.0
1784215135.3037,330.2330,0.0000,33.8387,105.0000,0.0,0.0,0.0
1784215135.3676,329.6718,0.0000,32.0038,105.0000,0.0,0.0,0.0
1784215135.4186,329.2859,0.0000,30.7423,105.0000,0.0,0.0,0.0
1784215135.4834,328.6544,0.0000,28.6780,105.0000,0.0,0.0,0.0
1784215135.5390,328.1634,0.0000,27.0725,105.0000,0.0,0.0,0.0
1784215135.6083,327.5670,0.0000,25.1229,105.0000,0.0,0.0,0.0
1784215135.6439,327.2515,0.0000,24.0915,105.0000,0.0,0.0,0.0
1784215135.7180,326.7076,0.0000,22.3132,105.0000,0.0,0.0,0.0
1784215135.7675,326.3703,0.0000,21.2106,105.0000,0.0,0.0,0.0
1784215135.8237,326.1425,0.0000,20.4659,105.0000,0.0,0.0,0.0
1784215135.8753,326.0480,0.0000,20.1569,105.0000,0.0,0.0,0.0
1784215135.9318,326.0050,0.0000,20.0163,105.0000,0.0,0.0,0.0
1784215135.9920,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.0603,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.1078,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.1625,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.2235,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.2883,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.3432,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.3880,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.4460,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.5188,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.5880,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.6509,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.7078,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.7723,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.8474,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.9236,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215136.9765,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.0276,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.0870,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.1470,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.2136,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.2804,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.3391,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.4076,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.4600,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.5319,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.5881,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.6430,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.7079,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.7620,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.8256,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.8764,326.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.9235,326.0078,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215137.9875,326.2703,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.0511,326.9783,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.1269,328.5536,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.1757,329.8254,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.2353,331.5789,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.2834,333.0182,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.3400,334.6972,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.4049,336.3763,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.4520,338.0555,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.5070,339.7345,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.5713,341.6535,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.6305,343.4525,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.6765,344.7718,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.7390,346.6908,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.7917,348.2500,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.8673,350.5287,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215138.9273,352.3278,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.0028,354.3667,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.0719,356.6454,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.1318,358.4445,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.1997,360.4834,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.2472,361.9226,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.3037,363.6017,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.3674,365.5207,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.4196,367.0798,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.4715,368.6390,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.5430,370.7979,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.6198,373.0766,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.6719,374.6358,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.7196,376.0750,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.7766,377.7541,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.8318,379.4332,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.9037,381.5920,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215139.9599,383.2711,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.0293,385.4300,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.0673,386.5094,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.1241,388.1885,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.1873,389.8676,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.2402,391.6667,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.3038,393.5854,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.3626,395.2767,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.4319,396.7248,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.4835,397.4707,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.5400,397.8340,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.5914,397.9780,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.6558,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.6987,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.7624,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.8196,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.8754,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.9195,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215140.9715,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.0401,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.0955,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.1510,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.2077,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.2714,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.3238,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.3867,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.4352,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.4911,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.5442,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.5986,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.6589,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.7271,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.7918,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.8473,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.9079,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215141.9561,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215142.0187,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215142.0875,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215142.1390,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215142.1911,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215142.2550,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215142.3319,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215142.3918,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
1784215142.4399,398.0000,0.0000,20.0000,105.0000,0.0,0.0,0.0
