timestamp,x,y,z,r,roll,pitch,yaw
1784215556.8608,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215556.9279,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215556.9889,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215557.0440,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215557.1116,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215557.1793,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215557.2363,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215557.2966,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215557.3683,352.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784215557.4285,351.9999,0.0000,104.9998,105.0000,0.0,0.0,0.0
1784215557.4766,351.9817,0.0000,104.9402,105.0000,0.0,0.0,0.0
1784215557.5384,351.8796,0.0000,104.6065,105.0000,0.0,0.0,0.0
1784215557.5892,351.6593,0.0000,103.8861,105.0000,0.0,0.0,0.0
1784215557.6454,351.2825,0.0000,102.6542,105.0000,0.0,0.0,0.0
1784215557.7095,350.8153,0.0000,101.1269,105.0000,0.0,0.0,0.0
1784215557.7883,350.1929,0.0000,99.0921,105.0000,0.0,0.0,0.0
1784215557.8403,349.6667,0.0000,97.3719,105.0000,0.0,0.0,0.0
1784215557.9083,349.0703,0.0000,95.4223,105.0000,0.0,0.0,0.0
1784215557.9930,348.3337,0.0000,93.0140,105.0000,0.0,0.0,0.0
1784215558.0205,348.0881,0.0000,92.2112,105.0000,0.0,0.0,0.0
1784215558.0734,347.6321,0.0000,90.7204,105.0000,0.0,0.0,0.0
1784215558.1287,347.1410,0.0000,89.1149,105.0000,0.0,0.0,0.0
1784215558.2089,346.4395,0.0000,86.8213,105.0000,0.0,0.0,0.0
1784215558.2446,346.1237,0.0000,85.7891,105.0000,0.0,0.0,0.0
1784215558.3108,345.6326,0.0000,84.1836,105.0000,0.0,0.0,0.0
1784215558.3714,345.0012,0.0000,82.1193,105.0000,0.0,0.0,0.0
1784215558.4344,344.5101,0.0000,80.5138,105.0000,0.0,0.0,0.0
