timestamp,x,y,z,r,roll,pitch,yaw
1784216339.2240,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.2909,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.3474,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.4136,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.4806,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.5362,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.6041,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.6603,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.7350,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.7833,330.0000,0.0000,105.0000,105.0000,0.0,0.0,0.0
1784216339.8355,330.0000,-0.0180,104.9755,105.0000,0.0,0.0,0.0
1784216339.9070,330.0000,-0.2909,104.6051,105.0000,0.0,0.0,0.0
1784216339.9550,330.0000,-0.6528,104.1141,105.0000,0.0,0.0,0.0
1784216339.9997,330.0000,-1.1700,103.4122,105.0000,0.0,0.0,0.0
1784216340.0550,330.0000,-2.0102,102.2718,105.0000,0.0,0.0,0.0
1784216340.1161,330.0000,-3.0270,100.8920,105.0000,0.0,0.0,0.0
1784216340.1717,330.0000,-4.0225,99.5409,105.0000,0.0,0.0,0.0
1784216340.2317,330.0000,-5.0901,98.0920,105.0000,0.0,0.0,0.0
1784216340.2877,330.0000,-6.0865,96.7397,105.0000,0.0,0.0,0.0
1784216340.3474,330.0000,-7.1541,95.2909,105.0000,0.0,0.0,0.0
1784216340.4160,330.0000,-8.3641,93.6488,105.0000,0.0,0.0,0.0
1784216340.4676,330.0000,-9.2893,92.3930,105.0000,0.0,0.0,0.0
1784216340.5205,330.0000,-10.2146,91.1373,105.0000,0.0,0.0,0.0
1784216340.5842,330.0000,-11.3534,89.5919,105.0000,0.0,0.0,0.0
1784216340.6524,330.0000,-12.5633,87.9498,105.0000,0.0,0.0,0.0
1784216340.7200,330.0000,-13.7733,86.3077,105.0000,0.0,0.0,0.0
1784216340.7683,330.0000,-14.6274,85.1486,105.0000,0.0,0.0,0.0
1784216340.8317,330.0000,-15.7662,83.6031,105.0000,0.0,0.0,0.0
1784216340.8995,330.0000,-16.9761,81.9610,105.0000,0.0,0.0,0.0
1784216340.9559,330.0000,-17.9725,80.6087,105.0000,0.0,0.0,0.0
1784216341.0036,330.0000,-18.8266,79.4496,105.0000,0.0,0.0,0.0
1784216341.0674,330.0000,-19.9654,77.9041,105.0000,0.0,0.0,0.0
1784216341.1312,330.0000,-21.1042,76.3586,105.0000,0.0,0.0,0.0
1784216341.1877,330.0000,-22.1006,75.0063,105.0000,0.0,0.0,0.0
1784216341.2313,330.0000,-22.8835,73.9438,105.0000,0.0,0.0,0.0
1784216341.2869,330.0000,-23.8800,72.5915,105.0000,0.0,0.0,0.0
1784216341.3477,330.0000,-24.9476,71.1426,105.0000,0.0,0.0,0.0
1784216341.4200,330.0000,-26.2287,69.4039,105.0000,0.0,0.0,0.0
1784216341.4714,330.0000,-27.1540,68.1482,105.0000,0.0,0.0,0.0
1784216341.5151,330.0000,-27.9369,67.0857,105.0000,0.0,0.0,0.0
1784216341.5680,330.0000,-28.8622,65.8299,105.0000,0.0,0.0,0.0
1784216341.6361,330.0000,-30.0721,64.1879,105.0000,0.0,0.0,0.0
1784216341.6918,330.0000,-31.0685,62.8356,105.0000,0.0,0.0,0.0
1784216341.7520,330.0000,-32.1362,61.3867,105.0000,0.0,0.0,0.0
1784216341.8080,330.0000,-33.1326,60.0344,105.0000,0.0,0.0,0.0
1784216341.8519,330.0000,-33.9155,58.9718,105.0000,0.0,0.0,0.0
1784216341.9151,330.0000,-35.0543,57.4263,105.0000,0.0,0.0,0.0
1784216341.9715,330.0000,-36.0507,56.0740,105.0000,0.0,0.0,0.0
1784216342.0162,330.0000,-36.8336,55.0115,105.0000,0.0,0.0,0.0
1784216342.0837,330.0000,-38.0436,53.3694,105.0000,0.0,0.0,0.0
1784216342.1397,330.0000,-39.0400,52.0171,105.0000,0.0,0.0,0.0
1784216342.1917,330.0000,-39.9653,50.7614,105.0000,0.0,0.0,0.0
1784216342.2475,330.0000,-40.9617,49.4091,105.0000,0.0,0.0,0.0
1784216342.2990,330.0000,-41.8870,48.1534,105.0000,0.0,0.0,0.0
1784216342.3508,330.0000,-42.8122,46.8977,105.0000,0.0,0.0,0.0
1784216342.4027,330.0000,-43.7375,45.6420,105.0000,0.0,0.0,0.0
1784216342.4749,330.0000,-45.0186,43.9033,105.0000,0.0,0.0,0.0
1784216342.5152,330.0000,-45.7304,42.9374,105.0000,0.0,0.0,0.0
1784216342.5705,330.0000,-46.7268,41.5851,105.0000,0.0,0.0,0.0
1784216342.6435,330.0000,-48.0079,39.8464,105.0000,0.0,0.0,0.0
1784216342.7151,330.0000,-49.2891,38.1077,105.0000,0.0,0.0,0.0
1784216342.7788,330.0000,-50.2855,36.7554,105.0000,0.0,0.0,0.0
1784216342.8393,330.0000,-51.4954,35.1133,105.0000,0.0,0.0,0.0
1784216342.9037,330.0000,-52.5631,33.6644,105.0000,0.0,0.0,0.0
1784216342.9356,330.0000,-53.2036,32.7951,105.0000,0.0,0.0,0.0
1784216343.0039,330.0000,-54.4136,31.1530,105.0000,0.0,0.0,0.0
1784216343.0674,330.0000,-55.5524,29.6075,105.0000,0.0,0.0,0.0
1784216343.1313,330.0000,-56.6911,28.0620,105.0000,0.0,0.0,0.0
1784216343.1878,330.0000,-57.6876,26.7097,105.0000,0.0,0.0,0.0
1784216343.2673,330.0000,-58.9687,24.9710,105.0000,0.0,0.0,0.0
1784216343.2959,330.0000,-59.6093,24.1017,105.0000,0.0,0.0,0.0
1784216343.3600,330.0000,-60.7481,22.5562,105.0000,0.0,0.0,0.0
1784216343.4160,330.0000,-61.7445,21.2039,105.0000,0.0,0.0,0.0
1784216343.4798,330.0000,-62.8833,19.6584,105.0000,0.0,0.0,0.0
1784216343.5500,330.0000,-64.0221,18.1129,105.0000,0.0,0.0,0.0
1784216343.6112,330.0000,-65.2320,16.4709,105.0000,0.0,0.0,0.0
1784216343.6711,330.0000,-66.2996,15.0219,105.0000,0.0,0.0,0.0
1784216343.7504,330.0000,-67.5794,13.2851,105.0000,0.0,0.0,0.0
1784216343.7997,330.0000,-68.4911,12.0478,105.0000,0.0,0.0,0.0
1784216343.8674,330.0000,-69.3195,10.9235,105.0000,0.0,0.0,0.0
1784216343.9310,330.0000,-69.7831,10.2943,105.0000,0.0,0.0,0.0
1784216343.9981,330.0000,-69.9441,10.0759,105.0000,0.0,0.0,0.0
1784216344.0494,330.0000,-69.9979,10.0028,105.0000,0.0,0.0,0.0
1784216344.0989,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.1714,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.2230,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.2838,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.3397,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.4038,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.4555,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.5072,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.5637,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.6152,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.6872,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.7311,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.7837,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.8353,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.8996,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.9556,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216344.9960,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.0514,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.1191,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.1714,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.2352,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.2838,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.3391,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.3989,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.4553,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.5115,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.5676,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.6400,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.7009,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.7511,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.8037,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.8585,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.9192,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216345.9838,330.0000,-70.0000,10.0000,105.0000,0.0,0.0,0.0
1784216346.0313,330.0000,-69.9921,10.0000,105.0000,0.0,0.0,0.0
1784216346.1122,330.0000,-69.6619,10.0000,105.0000,0.0,0.0,0.0
1784216346.1585,330.0000,-69.0216,10.0000,105.0000,0.0,0.0,0.0
1784216346.2122,330.0000,-68.0282,10.0000,105.0000,0.0,0.0,0.0
