family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
median,median size=11,790.9235363146206,98.0798212072178,776.8616758558926,111.47342981517673,1305.3738895467545
median,median size=3,797.903867690756,117.6067268816217,782.1768258413168,104.96977176721475,1322.7328294367776
moving_average,moving-average window=81,798.0811174772591,119.0423607767452,780.6663014857764,115.42318718077681,1324.5411056385383
median,median size=5,799.7537590192582,131.69577525783689,778.1935053544203,129.14010248126215,1320.4712532707695
wiener,wiener window=11,799.8178367799078,80.41467196770787,789.1011281947339,102.76897413818615,1324.9782277286113
moving_average,moving-average window=41,802.5777265155474,119.77783899923263,785.5923902797689,112.37825731901198,1333.1311911730286
median,median size=21,803.4687000658182,174.6054318521681,776.1608859576424,112.46854788171267,1338.327445425154
savgol,savgol window=81 poly=2,803.7943549292656,119.35607236320438,787.6365472457068,107.08950671772268,1336.402980837509
savgol,savgol window=21 poly=3,803.9814427469659,119.72941840340634,787.6618687092655,107.88793830499546,1336.6068066224896
moving_average,moving-average window=21,804.1468010523416,119.71214586590823,787.4942964665083,110.33500264019865,1336.3249505560527
moving_average,moving-average window=11,804.253685452285,119.73835928351063,787.7785540510764,109.04891405636049,1336.8100735418475
moving_average,moving-average window=5,804.3583305453408,119.46580310932956,788.0419070601774,108.21367068023008,1337.1619784912123
savgol,savgol window=11 poly=2,804.4361450244471,119.81344913455968,788.114766395667,107.87661385757701,1337.4133159602563
savgol,savgol window=7 poly=2,804.4371214558853,119.44297907407046,788.1796699774145,107.82052198183717,1337.3912038465435
butterworth,butterworth cutoff=10Hz order=4,804.4567741183884,119.86908531225349,788.1203703238845,107.92768732772255,1337.4429400869255
butterworth,butterworth cutoff=20Hz order=4,804.4742045466994,119.30815195781537,788.2442054665908,107.7746872219933,1337.4534700111878
butterworth,butterworth cutoff=20Hz order=2,804.4747960236629,119.37305815769068,788.2325703356298,107.792325726283,1337.4568278733946
raw,raw,804.4889360263505,119.34001634528033,788.2575410000076,107.7518340639234,1337.4879339620868
kalman_1d,kalman Q=1e-02 R=1e-04,804.4913818654131,119.33747496497772,788.2619638096222,107.7405539975696,1337.4974118674818
savgol,savgol window=11 poly=3,804.4917959956647,119.2071585085707,788.2820350446759,107.74106185882349,1337.4822527039926
kalman_1d,kalman Q=1e-02 R=1e-03,804.5113713178225,119.31634874809626,788.2982619262701,107.64759981127013,1337.5752608477442
savgol,savgol window=7 poly=3,804.5125708376762,119.2632111416599,788.2970536574592,107.72426977703701,1337.5281471939907
savgol,savgol window=41 poly=2,804.527979042469,119.22176191689519,788.3159327637812,107.7470681659617,1337.5487596398111
butterworth,butterworth cutoff=10Hz order=2,804.5387070299277,119.84532446357275,788.2039398027157,107.9545209478771,1337.5775170109405
kalman_1d,kalman Q=1e-04 R=1e-04,804.6148502650872,119.15128097157894,788.5101442414078,107.05037103314822,1338.0302787833066
kalman_1d,kalman Q=1e-02 R=1e-02,804.6164771877415,119.15782459064079,788.5103745732581,107.05361923437047,1338.0329954503343
kalman_1d,kalman Q=1e-04 R=1e-03,804.7767504490989,118.43136046036012,789.0845498320571,104.81032458331158,1339.3794146923408
savgol,savgol window=41 poly=3,804.8161600512526,119.74324566709979,788.4921387061306,108.03126304632458,1338.0333950293386
butterworth,butterworth cutoff=5Hz order=4,805.1737077121214,120.2396507484268,788.7507814743122,108.25585758952165,1338.656658234505
butterworth,butterworth cutoff=5Hz order=2,805.2288900550441,120.23797460693561,788.8094665646267,108.24056679327319,1338.7567402280106
savgol,savgol window=21 poly=2,805.2817851780367,119.23077213736713,789.0830559546889,107.75299216384947,1338.8639126662504
savgol,savgol window=81 poly=3,805.2923713938824,119.61650141812693,788.9534437097799,108.35201738845979,1338.7993949029071
kalman_1d,kalman Q=1e-06 R=1e-04,805.6956858952472,117.2514969656081,790.9322025069874,99.1154668403607,1344.361480382433
kalman_1d,kalman Q=1e-04 R=1e-02,805.7022299907887,117.26560430488831,790.9362691375447,99.11952190119058,1344.3730756390162
butterworth,butterworth cutoff=1Hz order=2,805.7716720003958,122.64911914554006,789.0648945979215,107.7115271654225,1340.0707937092986
butterworth,butterworth cutoff=1Hz order=4,805.7757734891275,122.19794736854885,789.1908745003269,107.33136729923903,1340.116568016299
wiener,wiener window=5,805.8118023828168,123.79497033586802,788.7577143485088,108.94372049228708,1340.375891332055
butterworth,butterworth cutoff=2Hz order=2,806.4453603239788,121.12097775335727,789.8790412257516,108.51234108814647,1340.9077033031688
butterworth,butterworth cutoff=2Hz order=4,807.3344268985069,121.12246444068583,790.7730755002153,108.6101676975329,1342.4407929458246
wiener,wiener window=21,807.5845699397225,134.60407045525113,787.6790950101504,116.77424846940671,1344.9199668193326
wiener,wiener window=41,808.2685962604254,111.57677842159133,791.8363641374931,117.66018293107027,1342.4960997960611
wiener,wiener window=81,815.938348170107,159.67344864645793,781.8362634309375,170.26988869515276,1364.1696968194674
kalman_1d,kalman Q=1e-06 R=1e-03,816.6675838859502,117.28472854082217,803.1125077134302,90.55680524105662,1373.3327345201237
median,median size=41,819.3747055294646,214.477882163079,782.24093854354,116.07437353205539,1369.5891991182668
kalman_1d,kalman Q=1e-06 R=1e-02,862.7756501148118,125.04684803650417,847.314208442555,103.94104289710485,1481.5537921897005
