frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
42,1.4,1784291924.613,nan,nan,nan,nan,nan,nan,66,5,0.07575757575757576,335,0,0,0,0,0,0,250,0,1,0
43,1.4333333333333333,1784291924.6463332,nan,nan,nan,nan,nan,nan,71,5,0.07042253521126761,344,0,0,0,0,0,0,250,0,1,0
44,1.4666666666666666,1784291924.6796665,nan,nan,nan,nan,nan,nan,67,0,0.0,368,0,0,0,0,0,0,250,0,1,0
45,1.5,1784291924.7129998,nan,nan,nan,nan,nan,nan,59,0,0.0,361,0,0,0,0,0,0,250,0,1,0
46,1.5333333333333334,1784291924.7463331,nan,nan,nan,nan,nan,nan,42,0,0.0,369,0,0,0,0,0,0,250,0,1,0
47,1.5666666666666667,1784291924.7796664,nan,nan,nan,nan,nan,nan,36,0,0.0,380,0,0,0,0,0,0,250,0,1,0
48,1.6,1784291924.8129997,nan,nan,nan,nan,nan,nan,42,0,0.0,385,0,0,0,0,0,0,250,0,1,0
49,1.6333333333333333,1784291924.8463333,nan,nan,nan,nan,nan,nan,44,0,0.0,405,0,0,0,0,0,0,250,0,1,0
50,1.6666666666666667,1784291924.8796666,nan,nan,nan,nan,nan,nan,41,0,0.0,396,0,0,0,0,0,0,250,0,1,0
51,1.7,1784291924.9129999,nan,nan,nan,nan,nan,nan,37,0,0.0,426,0,0,0,0,0,0,250,0,1,0
52,1.7333333333333334,1784291924.9463332,nan,nan,nan,nan,nan,nan,52,0,0.0,423,0,0,0,0,0,0,250,0,1,0
53,1.7666666666666666,1784291924.9796665,nan,nan,nan,nan,nan,nan,39,0,0.0,446,0,0,0,0,0,0,250,0,1,0
54,1.8,1784291925.0129998,nan,nan,nan,nan,nan,nan,27,0,nan,460,0,0,0,0,0,0,250,0,1,0
55,1.8333333333333333,1784291925.046333,nan,nan,nan,nan,nan,nan,38,0,0.0,455,0,0,0,0,0,0,250,0,1,0
56,1.8666666666666667,1784291925.0796664,nan,nan,nan,nan,nan,nan,31,0,0.0,457,0,0,0,0,0,0,250,0,1,0
57,1.9,1784291925.113,nan,nan,nan,nan,nan,nan,26,0,nan,464,0,0,0,0,0,0,250,0,1,0
58,1.9333333333333333,1784291925.1463332,nan,nan,nan,nan,nan,nan,21,0,nan,478,0,0,0,0,0,0,250,0,1,0
59,1.9666666666666666,1784291925.1796665,nan,nan,nan,nan,nan,nan,36,0,0.0,445,0,0,0,0,0,0,250,0,1,0
60,2.0,1784291925.2129998,nan,nan,nan,nan,nan,nan,23,0,nan,479,0,0,0,0,0,0,250,0,1,0
61,2.033333333333333,1784291925.2463331,nan,nan,nan,nan,nan,nan,24,0,nan,471,0,0,0,0,0,0,250,0,1,0
62,2.066666666666667,1784291925.2796664,nan,nan,nan,nan,nan,nan,22,0,nan,474,0,0,0,0,0,0,250,0,1,0
63,2.1,1784291925.3129997,nan,nan,nan,nan,nan,nan,21,0,nan,515,0,0,0,0,0,0,250,0,1,0
64,2.1333333333333333,1784291925.3463333,nan,nan,nan,nan,nan,nan,18,0,nan,497,0,0,0,0,0,0,250,0,1,0
65,2.1666666666666665,1784291925.3796666,nan,nan,nan,nan,nan,nan,20,0,nan,504,0,0,0,0,0,0,250,0,1,0
66,2.2,1784291925.4129999,nan,nan,nan,nan,nan,nan,12,0,nan,442,0,0,0,0,0,0,250,0,1,0
67,2.2333333333333334,1784291925.4463332,nan,nan,nan,nan,nan,nan,15,0,nan,484,0,0,0,0,0,0,250,0,1,0
68,2.2666666666666666,1784291925.4796665,nan,nan,nan,nan,nan,nan,8,0,nan,442,0,0,0,0,0,0,250,0,1,0
69,2.3,1784291925.5129998,nan,nan,nan,nan,nan,nan,13,0,nan,439,0,0,0,0,0,0,250,0,1,0
70,2.3333333333333335,1784291925.546333,nan,nan,nan,nan,nan,nan,10,0,nan,421,0,0,0,0,0,0,250,0,1,0
71,2.3666666666666667,1784291925.5796664,nan,nan,nan,nan,nan,nan,10,0,nan,458,0,0,0,0,0,0,250,0,1,0
72,2.4,1784291925.613,nan,nan,nan,nan,nan,nan,12,0,nan,412,0,0,0,0,0,0,250,0,1,0
73,2.433333333333333,1784291925.6463332,nan,nan,nan,nan,nan,nan,2,0,nan,449,0,0,0,0,0,0,250,0,1,0
74,2.466666666666667,1784291925.6796665,nan,nan,nan,nan,nan,nan,14,0,nan,426,0,0,0,0,0,0,250,0,1,0
75,2.5,1784291925.7129998,nan,nan,nan,nan,nan,nan,1,0,nan,430,0,0,0,0,0,0,250,0,1,0
76,2.533333333333333,1784291925.7463331,nan,nan,nan,nan,nan,nan,8,0,nan,430,0,0,0,0,0,0,250,0,1,0
77,2.566666666666667,1784291925.7796664,nan,nan,nan,nan,nan,nan,13,0,nan,444,0,0,0,0,0,0,250,0,1,0
78,2.6,1784291925.8129997,nan,nan,nan,nan,nan,nan,9,0,nan,403,0,0,0,0,0,0,250,0,1,0
79,2.6333333333333333,1784291925.8463333,nan,nan,nan,nan,nan,nan,16,0,nan,405,0,0,0,0,0,0,250,0,1,0
80,2.6666666666666665,1784291925.8796666,nan,nan,nan,nan,nan,nan,5,0,nan,408,0,0,0,0,0,0,250,0,1,0
81,2.7,1784291925.9129999,nan,nan,nan,nan,nan,nan,4,0,nan,404,0,0,0,0,0,0,250,0,1,0
82,2.7333333333333334,1784291925.9463332,nan,nan,nan,nan,nan,nan,4,0,nan,398,0,0,0,0,0,0,250,0,1,0
83,2.7666666666666666,1784291925.9796665,nan,nan,nan,nan,nan,nan,7,0,nan,359,0,0,0,0,0,0,250,0,1,0
84,2.8,1784291926.0129998,nan,nan,nan,nan,nan,nan,5,0,nan,338,0,0,0,0,0,0,250,0,1,0
85,2.8333333333333335,1784291926.046333,nan,nan,nan,nan,nan,nan,6,0,nan,337,0,0,0,0,0,0,250,0,1,0
86,2.8666666666666667,1784291926.0796664,nan,nan,nan,nan,nan,nan,2,0,nan,328,0,0,0,0,0,0,250,0,1,0
87,2.9,1784291926.113,nan,nan,nan,nan,nan,nan,7,0,nan,337,0,0,0,0,0,0,250,0,1,0
88,2.933333333333333,1784291926.1463332,nan,nan,nan,nan,nan,nan,6,0,nan,337,0,0,0,0,0,0,250,0,1,0
89,2.966666666666667,1784291926.1796665,nan,nan,nan,nan,nan,nan,5,0,nan,329,0,0,0,0,0,0,250,0,1,0
90,3.0,1784291926.2129998,nan,nan,nan,nan,nan,nan,3,0,nan,345,0,0,0,0,0,0,250,0,1,0
91,3.033333333333333,1784291926.2463331,nan,nan,nan,nan,nan,nan,5,0,nan,328,0,0,0,0,0,0,250,0,1,0
92,3.066666666666667,1784291926.2796664,nan,nan,nan,nan,nan,nan,12,0,nan,322,0,0,0,0,0,0,250,0,1,0
93,3.1,1784291926.3129997,nan,nan,nan,nan,nan,nan,2,0,nan,348,0,0,0,0,0,0,250,0,1,0
94,3.1333333333333333,1784291926.3463333,nan,nan,nan,nan,nan,nan,8,0,nan,336,0,0,0,0,0,0,250,0,1,0
95,3.1666666666666665,1784291926.3796666,nan,nan,nan,nan,nan,nan,8,0,nan,330,0,0,0,0,0,0,250,0,1,0
96,3.2,1784291926.4129999,nan,nan,nan,nan,nan,nan,3,0,nan,336,0,0,0,0,0,0,250,0,1,0
97,3.2333333333333334,1784291926.4463332,nan,nan,nan,nan,nan,nan,16,0,nan,329,0,0,0,0,0,0,250,0,1,0
98,3.2666666666666666,1784291926.4796665,nan,nan,nan,nan,nan,nan,15,0,nan,341,0,0,0,0,0,0,250,0,1,0
99,3.3,1784291926.5129998,nan,nan,nan,nan,nan,nan,12,0,nan,347,0,0,0,0,0,0,250,0,1,0
100,3.3333333333333335,1784291926.546333,nan,nan,nan,nan,nan,nan,12,0,nan,332,0,0,0,0,0,0,250,0,1,0
101,3.3666666666666667,1784291926.5796664,nan,nan,nan,nan,nan,nan,3,0,nan,366,0,0,0,0,0,0,250,0,1,0
102,3.4,1784291926.613,nan,nan,nan,nan,nan,nan,7,0,nan,347,0,0,0,0,0,0,250,0,1,0
103,3.433333333333333,1784291926.6463332,nan,nan,nan,nan,nan,nan,7,0,nan,352,0,0,0,0,0,0,250,0,1,0
