frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
0,0.0,1784291468.0319998,nan,nan,nan,nan,nan,nan,0,0,nan,158,0,0,1,158,0,0,0,0,0,0
1,0.03333333333333333,1784291468.0653331,nan,nan,nan,nan,nan,nan,0,0,nan,162,0,0,2,158,0,146,0,0,0,0
2,0.06666666666666667,1784291468.0986664,nan,nan,nan,nan,nan,nan,0,0,nan,158,0,0,3,158,145,146,0,0,0,0
3,0.1,1784291468.1319997,nan,nan,nan,nan,nan,nan,0,0,nan,164,0,0,4,158,145,140,0,0,0,0
4,0.13333333333333333,1784291468.1653333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,150,0,146,5,158,147,102,146,1,1,1
5,0.16666666666666666,1784291468.1986666,nan,nan,nan,nan,nan,nan,68,15,0.22058823529411764,107,0,0,0,0,0,0,146,0,1,0
6,0.2,1784291468.2319999,nan,nan,nan,nan,nan,nan,74,16,0.21621621621621623,115,0,0,0,0,0,0,146,0,1,0
7,0.23333333333333334,1784291468.2653332,nan,nan,nan,nan,nan,nan,64,15,0.234375,110,0,0,0,0,0,0,146,0,1,0
8,0.26666666666666666,1784291468.2986665,nan,nan,nan,nan,nan,nan,66,9,0.13636363636363635,107,0,0,0,0,0,0,146,0,1,0
9,0.3,1784291468.3319998,nan,nan,nan,nan,nan,nan,66,17,0.25757575757575757,102,0,0,0,0,0,0,146,0,1,0
10,0.3333333333333333,1784291468.365333,nan,nan,nan,nan,nan,nan,64,12,0.1875,128,0,0,0,0,0,0,146,0,1,0
11,0.36666666666666664,1784291468.3986664,nan,nan,nan,nan,nan,nan,69,13,0.18840579710144928,102,0,0,0,0,0,0,146,0,1,0
12,0.4,1784291468.432,nan,nan,nan,nan,nan,nan,66,16,0.24242424242424243,108,0,0,0,0,0,0,146,0,1,0
13,0.43333333333333335,1784291468.4653332,-0.34853917895512865,-3.7488405743982725,5.177140024130381,0.8179650802068179,2.295216707633964,-1.0388800447212698,66,21,0.3181818181818182,111,0,0,0,0,0,0,146,0,1,1
14,0.4666666666666667,1784291468.4986665,nan,nan,nan,nan,nan,nan,70,17,0.24285714285714285,108,0,0,0,0,0,0,146,0,1,0
15,0.5,1784291468.5319998,nan,nan,nan,nan,nan,nan,71,15,0.2112676056338028,93,0,0,0,0,0,0,146,0,1,0
16,0.5333333333333333,1784291468.5653331,nan,nan,nan,nan,nan,nan,65,15,0.23076923076923078,110,0,0,0,0,0,0,146,0,1,0
17,0.5666666666666667,1784291468.5986664,nan,nan,nan,nan,nan,nan,61,12,0.19672131147540983,116,0,0,0,0,0,0,146,0,1,0
18,0.6,1784291468.6319997,nan,nan,nan,nan,nan,nan,67,15,0.22388059701492538,95,0,0,0,0,0,0,146,0,1,0
19,0.6333333333333333,1784291468.6653333,-1.866660752303055,-2.234548796277764,1.5851665044532552,-0.638836925018853,1.2054464128865015,-0.45404232871719946,68,27,0.39705882352941174,123,0,0,0,0,0,0,146,0,1,1
20,0.6666666666666666,1784291468.6986666,-2.652140552311593,-2.135491335695235,1.9858709490790574,-0.5021834410594281,1.092571022912318,-1.095780692923972,67,27,0.40298507462686567,100,0,0,0,0,0,0,146,0,1,1
21,0.7,1784291468.7319999,nan,nan,nan,nan,nan,nan,67,13,0.19402985074626866,97,0,0,0,0,0,0,146,0,1,0
22,0.7333333333333333,1784291468.7653332,nan,nan,nan,nan,nan,nan,64,10,0.15625,106,0,0,0,0,0,0,146,0,1,0
23,0.7666666666666667,1784291468.7986665,nan,nan,nan,nan,nan,nan,66,15,0.22727272727272727,102,0,0,0,0,0,0,146,0,1,0
24,0.8,1784291468.8319998,nan,nan,nan,nan,nan,nan,63,14,0.2222222222222222,89,0,0,0,0,0,0,146,0,1,0
25,0.8333333333333334,1784291468.865333,nan,nan,nan,nan,nan,nan,56,10,0.17857142857142858,106,0,0,0,0,0,0,146,0,1,0
26,0.8666666666666667,1784291468.8986664,nan,nan,nan,nan,nan,nan,61,10,0.16393442622950818,97,0,0,0,0,0,0,146,0,1,0
27,0.9,1784291468.932,nan,nan,nan,nan,nan,nan,51,13,0.2549019607843137,81,0,0,0,0,0,0,146,0,1,0
28,0.9333333333333333,1784291468.9653332,nan,nan,nan,nan,nan,nan,57,8,0.14035087719298245,104,0,0,0,0,0,0,146,0,1,0
29,0.9666666666666667,1784291468.9986665,nan,nan,nan,nan,nan,nan,52,14,0.2692307692307692,84,0,0,0,0,0,0,146,0,1,0
30,1.0,1784291469.0319998,nan,nan,nan,nan,nan,nan,49,16,0.32653061224489793,84,0,0,0,0,0,0,146,0,1,0
31,1.0333333333333334,1784291469.0653331,-11.392162924051433,-0.8950621112150259,0.622524703584034,-0.9538239543634575,0.39892964315960755,-1.0953210696485973,47,20,0.425531914893617,98,0,0,0,0,0,0,146,0,1,1
32,1.0666666666666667,1784291469.0986664,nan,nan,nan,nan,nan,nan,50,10,0.2,83,0,0,0,0,0,0,146,0,1,0
33,1.1,1784291469.1319997,-14.644374079401828,0.19628905238239724,-1.7111790581574695,-1.7277492953612335,-0.49882977151989183,-1.0130186363320504,38,21,0.5526315789473685,96,0,0,0,0,0,0,146,0,1,1
34,1.1333333333333333,1784291469.1653333,nan,nan,nan,nan,nan,nan,45,9,0.2,108,0,0,0,0,0,0,146,0,1,0
35,1.1666666666666667,1784291469.1986666,nan,nan,nan,nan,nan,nan,40,5,0.125,95,0,0,0,0,0,0,146,0,1,0
36,1.2,1784291469.2319999,nan,nan,nan,nan,nan,nan,41,7,0.17073170731707318,86,0,0,0,0,0,0,146,0,1,0
37,1.2333333333333334,1784291469.2653332,nan,nan,nan,nan,nan,nan,42,0,0.0,100,0,0,0,0,0,0,146,0,1,0
38,1.2666666666666666,1784291469.2986665,nan,nan,nan,nan,nan,nan,41,6,0.14634146341463414,111,0,0,0,0,0,0,146,0,1,0
39,1.3,1784291469.3319998,nan,nan,nan,nan,nan,nan,42,8,0.19047619047619047,99,0,0,0,0,0,0,146,0,1,0
40,1.3333333333333333,1784291469.365333,nan,nan,nan,nan,nan,nan,36,6,0.16666666666666666,96,0,0,0,0,0,0,146,0,1,0
