timestamp,X,Y,Z,R
0.012891,249.979397,1.796869,99.974518,3.754429
0.022481,249.979397,1.796869,99.974518,3.754429
0.033055,249.979397,1.796869,99.974518,3.754429
0.06966,249.979397,1.796869,99.974518,3.754429
0.082458,249.979397,1.796869,99.974518,3.754429
0.091042,249.979397,1.796869,99.974518,3.754429
0.116943,249.979398,1.796818,99.974518,3.754323
0.13009,249.979375,1.795673,99.974533,3.751931
0.148996,249.979553,1.78359,99.974701,3.726683
0.157435,249.97974,1.765889,99.97496,3.6897
0.167599,249.979991,1.740974,99.975311,3.637641
0.180983,249.980246,1.721803,99.975586,3.597584
0.186096,249.980461,1.7016,99.975861,3.555371
0.199773,249.980866,1.670938,99.976303,3.491304
0.217042,249.981304,1.630053,99.976883,3.405879
0.222179,249.981559,1.609439,99.977173,3.362808
0.233549,249.98179,1.587622,99.977478,3.317222
0.240277,249.982224,1.550107,99.978027,3.238837
0.252064,249.982576,1.520186,99.978439,3.176319
0.259872,249.982955,1.485072,99.978943,3.102952
0.266095,249.983449,1.445044,99.979515,3.019316
0.283429,249.984442,1.354912,99.980789,2.830993
0.291097,249.985248,1.283133,99.981812,2.681015
0.309377,249.98608,1.211029,99.982819,2.530359
0.317455,249.986644,1.16296,99.983505,2.429921
0.322823,249.987474,1.09064,99.984528,2.278814
0.336345,249.988064,1.041757,99.985229,2.176677
0.349195,249.988931,0.966442,99.986298,2.019312
0.3549,249.989524,0.914324,99.98703,1.910415
0.367701,249.990768,0.805308,99.988594,1.682633
0.38158,249.991398,0.750177,99.989372,1.567441
0.38763,249.992342,0.670216,99.990494,1.400368
0.399745,249.992913,0.620541,99.991211,1.296575
0.407064,249.993404,0.574768,99.991852,1.200937
0.417082,249.993879,0.532462,99.992447,1.112541
0.437653,249.995196,0.417677,99.994087,0.872705
0.449602,249.995636,0.380715,99.994598,0.795476
0.456641,249.996056,0.343753,99.99511,0.718248
0.465498,249.99669,0.288312,99.995911,0.602408
0.476972,249.997127,0.251697,99.996429,0.525904
0.49537,249.998097,0.168939,99.997604,0.352985
0.504275,249.998486,0.131142,99.998138,0.274012
0.515849,249.998754,0.112388,99.998421,0.234827
0.523426,249.998946,0.091578,99.998703,0.191346
0.535612,249.999041,0.080877,99.998856,0.168987
0.542559,249.999135,0.071347,99.998993,0.149075
0.552359,249.99929,0.062013,99.999115,0.129572
0.569051,249.999508,0.043345,99.99939,0.090566
0.574859,249.999601,0.034127,99.999512,0.071307
0.582276,249.999739,0.02539,99.999634,0.053051
0.591208,249.999786,0.017529,99.999756,0.036625
0.601354,249.999923,0.010939,99.999847,0.022856
0.609097,249.999939,0.006011,99.999908,0.012559
0.616665,249.999969,0.002828,99.999969,0.005909
0.623879,249.999969,0.001031,99.999985,0.002153
0.641311,249.999969,0.0,100.0,0.0
0.648639,249.999969,0.0,100.0,0.0
0.655821,249.999969,0.0,100.0,0.0
0.669245,249.999969,0.0,100.0,0.0
0.676578,249.999969,0.0,100.0,0.0
0.682947,249.999969,0.0,100.0,0.0
0.69761,249.999969,0.0,100.0,0.0
0.709199,249.999969,0.0,100.0,0.0
0.721545,249.999969,0.0,100.0,0.0
0.732416,249.999969,0.0,100.0,0.0
0.740223,249.999969,0.0,100.0,0.0
0.749227,249.999969,0.0,100.0,0.0
0.7571,249.999969,0.0,100.0,0.0
0.765596,249.999969,0.0,100.0,0.0
0.772417,249.999969,0.0,100.0,0.0
0.785399,249.999969,0.0,100.0,0.0
0.789392,249.999969,0.0,100.0,0.0
0.801604,249.999969,0.0,100.0,0.0
0.80832,249.999969,0.0,100.0,0.0
0.817826,249.999969,0.0,100.0,0.0
0.82318,249.999969,0.0,100.0,0.0
0.836065,249.999969,0.0,100.0,0.0
0.842852,249.999969,0.0,100.0,0.0
0.853542,249.999969,0.0,100.0,0.0
0.861219,249.999969,0.0,100.0,0.0
0.867863,249.999969,0.0,100.0,0.0
0.874454,249.999969,0.0,100.0,0.0
0.882516,249.999969,0.0,100.0,0.0
0.89138,249.999969,0.0,100.0,0.0
0.903051,249.999969,0.0,100.0,0.0
0.912112,249.999969,0.0,100.0,0.0
0.918698,249.999969,0.0,100.0,0.0
0.927538,249.999969,0.0,100.0,0.0
0.93535,249.999969,0.0,100.0,0.0
0.94282,249.999969,0.0,100.0,0.0
0.951215,249.999969,0.0,100.0,0.0
0.958997,249.999969,0.0,100.0,0.0
0.969168,249.999969,0.0,100.0,0.0
0.972066,249.999969,0.0,100.0,0.0
0.983423,249.999969,0.0,100.0,0.0
0.992219,249.999969,0.0,100.0,0.0
1.000261,249.999969,0.0,100.0,0.0
1.006113,249.999969,0.0,100.0,0.0
1.016423,249.999969,0.0,100.0,0.0
1.023438,249.999969,0.0,100.0,0.0
1.036052,249.999969,0.0,100.0,0.0
1.043386,249.999969,0.0,100.0,0.0
1.049417,249.999969,0.0,100.0,0.0
1.060215,249.999969,0.0,100.0,0.0
1.067663,249.999969,0.0,100.0,0.0
1.075744,249.999969,0.0,100.0,0.0
1.084851,249.999969,0.0,100.0,0.0
1.088957,249.999969,0.0,100.0,0.0
1.104145,249.999969,0.0,100.0,0.0
1.111207,249.999969,0.0,100.0,0.0
1.120476,249.999969,0.0,100.0,0.0
1.126594,249.999969,0.0,100.0,0.0
1.13584,249.999969,0.0,100.0,0.0
1.142694,249.999969,0.0,100.0,0.0
1.151629,249.999969,0.0,100.0,0.0
1.160558,249.999969,0.0,100.0,0.0
1.166494,249.999969,0.0,100.0,0.0
1.174788,249.999969,0.0,100.0,0.0
1.182491,249.999969,0.0,100.0,0.0
1.192278,249.999969,0.0,100.0,0.0
1.199533,249.999969,0.0,100.0,0.0
1.212029,249.999969,0.0,100.0,0.0
1.220042,249.999969,0.0,100.0,0.0
1.227646,249.999969,0.0,100.0,0.0
1.232555,249.999969,0.0,100.0,0.0
1.243016,249.999969,0.0,100.0,0.0
1.252692,249.999969,0.0,100.0,0.0
1.25888,249.999969,0.0,100.0,0.0
1.266554,249.999969,0.0,100.0,0.0
1.275382,249.999969,0.0,100.0,0.0
1.284247,249.999969,0.0,100.0,0.0
1.291244,249.999969,0.0,100.0,0.0
1.311448,249.999969,0.0,100.0,0.0
1.317997,249.999969,0.0,100.0,0.0
1.329515,249.999969,0.0,100.0,0.0
1.336899,249.999969,0.0,100.0,0.0
