raw_timestamp,timestamp,time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bax_m_s2,bay_m_s2,baz_m_s2,bgx_deg_s,bgy_deg_s,bgz_deg_s,sigma_x_mm,sigma_y_mm,sigma_z_mm,stationary_update
1784218872.6805377,1784218872.5805378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.69355,1784218872.5935502,0.013012409210205078,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.7151914,1784218872.6151915,0.034653663635253906,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.7408648,1784218872.6408648,0.06032705307006836,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.7654405,1784218872.6654406,0.08490276336669922,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.792328,1784218872.692328,0.11179018020629883,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.8131,1784218872.7131002,0.13256239891052246,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.831978,1784218872.7319782,0.15144038200378418,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.8497214,1784218872.7497215,0.16918373107910156,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
1784218872.8764098,1784218872.7764099,0.19587206840515137,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,4.336808689942018e-19,0.0,0.0,4.9696166897867443e-17,-0.0004034364478340269,-0.03720208886935339,0.0015459196761912208,-0.12323864118895948,0.18803044055201898,0.09879010084925653,1.0,1.0,1.0,1
