raw_timestamp,timestamp,time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bax_m_s2,bay_m_s2,baz_m_s2,bgx_deg_s,bgy_deg_s,bgz_deg_s,sigma_x_mm,sigma_y_mm,sigma_z_mm,stationary_update
1784217385.26914,1784217385.16914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.2854729,1784217385.185473,0.01633286476135254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.2995992,1784217385.1995993,0.030459165573120117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.3380072,1784217385.2380073,0.06886720657348633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.3574114,1784217385.2574115,0.0882713794708252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.370816,1784217385.270816,0.10167598724365234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.3935192,1784217385.2935193,0.12437915802001953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.4106557,1784217385.3106558,0.14151573181152344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.427733,1784217385.327733,0.15859293937683105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.4529955,1784217385.3529956,0.18385553359985352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.4754968,1784217385.3754969,0.20635676383972168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.4924786,1784217385.3924787,0.22333860397338867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.5098338,1784217385.409834,0.2406938076019287,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.5473154,1784217385.4473155,0.27817535400390625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.5650716,1784217385.4650717,0.2959315776824951,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.5890677,1784217385.4890678,0.3199276924133301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.6226888,1784217385.5226889,0.3535487651824951,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.654932,1784217385.554932,0.3857920169830322,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.675476,1784217385.5754762,0.40633606910705566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.693356,1784217385.5933561,0.42421603202819824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.7097404,1784217385.6097405,0.4406003952026367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.7276838,1784217385.6276839,0.4585437774658203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.7481005,1784217385.6481006,0.4789605140686035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.7654998,1784217385.6655,0.49635982513427734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.8004153,1784217385.7004154,0.5312752723693848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.8246346,1784217385.7246346,0.5554945468902588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.8419683,1784217385.7419684,0.5728282928466797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.857488,1784217385.757488,0.5883479118347168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.8764212,1784217385.7764213,0.6072812080383301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
1784217385.9117107,1784217385.8117108,0.6425707340240479,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003710324942191867,-0.03488083331047598,0.001338982605491923,-0.1214811143072391,0.18787708033696532,0.10707061160194474,1.0,1.0,1.0,1
