time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,bax_m_s2,bay_m_s2,baz_m_s2,bgx_deg_s,bgy_deg_s,bgz_deg_s,sigma_x_mm,sigma_y_mm,sigma_z_mm,stationary_update
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.010591740506252965,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.02118348101250593,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.031775221518758896,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.04236696202501186,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.05295870253126483,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.06355044303751779,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.07414218354377075,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.08473392405002372,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
0.0953256645562767,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013109616468505447,0.0032805111967869616,0.058854412755207974,0.16101851851851848,-0.6897222222222223,-0.33750000000000013,1.0,1.0,1.0,1
