frame,time_s,timestamp,tracking_time_ms,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
136,4.533333333333333,1784291472.5653331,332.9045999998925,nan,nan,nan,nan,nan,nan,9,0,nan,76,0,0,0,0,0,0,467,0,6,0
137,4.566666666666666,1784291472.5986664,255.19059999896854,nan,nan,nan,nan,nan,nan,7,0,nan,68,0,0,0,0,0,0,467,0,6,0
138,4.6,1784291472.6319997,293.2574000005843,nan,nan,nan,nan,nan,nan,12,0,nan,52,0,0,0,0,0,0,467,0,6,0
139,4.633333333333334,1784291472.6653333,289.61919999892416,nan,nan,nan,nan,nan,nan,18,0,nan,54,0,0,0,0,0,0,467,0,6,0
140,4.666666666666667,1784291472.6986666,327.51509999980044,nan,nan,nan,nan,nan,nan,14,0,nan,55,0,0,0,0,0,0,467,0,6,0
141,4.7,1784291472.7319999,270.3156999996281,nan,nan,nan,nan,nan,nan,11,0,nan,51,0,0,0,0,0,0,467,0,6,0
142,4.733333333333333,1784291472.7653332,365.86350000106904,nan,nan,nan,nan,nan,nan,12,0,nan,50,0,0,0,0,0,0,467,0,6,0
143,4.766666666666667,1784291472.7986665,365.09400000068126,nan,nan,nan,nan,nan,nan,16,0,nan,49,0,0,0,0,0,0,467,0,6,0
144,4.8,1784291472.8319998,373.5870000000432,nan,nan,nan,nan,nan,nan,18,0,nan,50,0,0,0,0,0,0,467,0,6,0
145,4.833333333333333,1784291472.865333,355.8253000010154,nan,nan,nan,nan,nan,nan,19,0,nan,37,0,0,0,0,0,0,467,0,6,0
146,4.866666666666666,1784291472.8986664,322.5134000003891,nan,nan,nan,nan,nan,nan,7,0,nan,49,0,0,0,0,0,0,467,0,6,0
147,4.9,1784291472.932,402.1407999989606,nan,nan,nan,nan,nan,nan,13,0,nan,51,0,0,0,0,0,0,467,0,6,0
148,4.933333333333334,1784291472.9653332,310.1818999984971,nan,nan,nan,nan,nan,nan,13,0,nan,42,0,0,0,0,0,0,467,0,6,0
149,4.966666666666667,1784291472.9986665,290.08649999923364,nan,nan,nan,nan,nan,nan,10,0,nan,53,0,0,0,0,0,0,467,0,6,0
150,5.0,1784291473.0319998,373.18779999986873,nan,nan,nan,nan,nan,nan,15,0,nan,38,0,0,0,0,0,0,467,0,6,0
151,5.033333333333333,1784291473.0653331,246.4735000012297,nan,nan,nan,nan,nan,nan,14,0,nan,57,0,0,0,0,0,0,467,0,6,0
152,5.066666666666666,1784291473.0986664,257.26340000073833,nan,nan,nan,nan,nan,nan,11,0,nan,61,0,0,0,0,0,0,467,0,6,0
153,5.1,1784291473.1319997,307.1436000009271,nan,nan,nan,nan,nan,nan,11,0,nan,45,0,0,0,0,0,0,467,0,6,0
154,5.133333333333334,1784291473.1653333,391.8580999998085,nan,nan,nan,nan,nan,nan,12,0,nan,40,0,0,0,0,0,0,467,0,6,0
155,5.166666666666667,1784291473.1986666,341.8403000014223,nan,nan,nan,nan,nan,nan,19,0,nan,47,0,0,0,0,0,0,467,0,6,0
156,5.2,1784291473.2319999,275.61400000013236,nan,nan,nan,nan,nan,nan,8,0,nan,61,0,0,0,0,0,0,467,0,6,0
157,5.233333333333333,1784291473.2653332,252.35020000036457,nan,nan,nan,nan,nan,nan,8,0,nan,56,0,0,0,0,0,0,467,0,6,0
158,5.266666666666667,1784291473.2986665,293.89030000129424,nan,nan,nan,nan,nan,nan,19,0,nan,62,0,0,0,0,0,0,467,0,6,0
159,5.3,1784291473.3319998,351.0301000005711,nan,nan,nan,nan,nan,nan,12,0,nan,51,0,0,0,0,0,0,467,0,6,0
160,5.333333333333333,1784291473.365333,228.92899999897054,nan,nan,nan,nan,nan,nan,13,0,nan,57,0,0,0,0,0,0,467,0,6,0
161,5.366666666666666,1784291473.3986664,382.32260000040696,nan,nan,nan,nan,nan,nan,17,0,nan,48,0,0,0,0,0,0,467,0,6,0
162,5.4,1784291473.432,387.87779999984195,nan,nan,nan,nan,nan,nan,26,0,nan,57,0,0,0,0,0,0,467,0,6,0
163,5.433333333333334,1784291473.4653332,299.56080000010843,nan,nan,nan,nan,nan,nan,16,0,nan,54,0,0,0,0,0,0,467,0,6,0
164,5.466666666666667,1784291473.4986665,332.22549999845796,nan,nan,nan,nan,nan,nan,13,0,nan,52,0,0,0,0,0,0,467,0,6,0
165,5.5,1784291473.5319998,434.4762999990053,nan,nan,nan,nan,nan,nan,19,0,nan,35,0,0,0,0,0,0,467,0,6,0
166,5.533333333333333,1784291473.5653331,426.0563000007096,nan,nan,nan,nan,nan,nan,14,0,nan,59,0,0,0,0,0,0,467,0,6,0
167,5.566666666666666,1784291473.5986664,204.8240000003716,nan,nan,nan,nan,nan,nan,2,0,nan,79,0,0,0,0,0,0,467,0,6,0
168,5.6,1784291473.6319997,300.7138000011764,nan,nan,nan,nan,nan,nan,14,0,nan,67,0,0,0,0,0,0,467,0,6,0
169,5.633333333333334,1784291473.6653333,314.47900000057416,nan,nan,nan,nan,nan,nan,13,0,nan,54,0,0,0,0,0,0,467,0,6,0
170,5.666666666666667,1784291473.6986666,224.52469999916502,nan,nan,nan,nan,nan,nan,13,0,nan,45,0,0,0,0,0,0,467,0,6,0
171,5.7,1784291473.7319999,183.3502999998018,nan,nan,nan,nan,nan,nan,5,0,nan,69,0,0,0,0,0,0,467,0,6,0
172,5.733333333333333,1784291473.7653332,315.7275000012305,nan,nan,nan,nan,nan,nan,3,0,nan,70,0,0,0,0,0,0,467,0,6,0
173,5.766666666666667,1784291473.7986665,237.3248000003514,nan,nan,nan,nan,nan,nan,4,0,nan,70,0,0,0,0,0,0,467,0,6,0
174,5.8,1784291473.8319998,237.0654000005743,nan,nan,nan,nan,nan,nan,2,0,nan,62,0,0,0,0,0,0,467,0,6,0
175,5.833333333333333,1784291473.865333,259.3598000003112,nan,nan,nan,nan,nan,nan,6,0,nan,57,0,0,0,0,0,0,467,0,6,0
176,5.866666666666666,1784291473.8986664,260.40809999904013,nan,nan,nan,nan,nan,nan,2,0,nan,66,0,0,0,0,0,0,467,0,6,0
177,5.9,1784291473.932,235.20490000009886,nan,nan,nan,nan,nan,nan,2,0,nan,63,0,0,0,0,0,0,467,0,6,0
178,5.933333333333334,1784291473.9653332,338.3274000007077,nan,nan,nan,nan,nan,nan,4,0,nan,69,0,0,0,0,0,0,467,0,6,0
179,5.966666666666667,1784291473.9986665,237.96889999903215,nan,nan,nan,nan,nan,nan,4,0,nan,61,0,0,0,0,0,0,467,0,6,0
180,6.0,1784291474.0319998,286.59869999864895,nan,nan,nan,nan,nan,nan,3,0,nan,72,0,0,0,0,0,0,467,0,6,0
