Frame,X,Y,Z,Roll,Pitch,Yaw
96,0.0000,0.0000,0.0000,0.0000,-0.0055,0.0000
97,0.0000,0.0000,0.0000,0.0000,-0.0046,0.0000
98,0.0000,0.0000,0.0000,0.0000,-0.0057,0.0000
99,0.0000,0.0000,0.0000,0.0000,-0.0042,0.0000
100,0.0000,0.0000,0.0000,0.0000,-0.0078,0.0000
101,0.0000,0.0000,0.0000,0.0000,-0.0045,0.0000
102,0.0000,0.0000,0.0000,0.0000,-0.0034,0.0000
103,0.0000,0.0000,0.0000,0.0000,-0.0034,0.0000
104,0.0000,0.0000,0.0000,0.0000,-0.0035,0.0000
105,0.0000,0.0000,0.0000,0.0000,-0.0055,0.0000
106,0.0000,0.0000,0.0000,0.0000,-0.0061,0.0000
107,0.0000,0.0000,0.0000,0.0000,-0.0078,0.0000
108,0.0000,0.0000,0.0000,0.0000,-0.0064,0.0000
109,0.0000,0.0000,0.0000,0.0000,-0.0053,0.0000
110,0.0000,0.0000,0.0000,0.0000,-0.0089,0.0000
111,0.0000,0.0000,0.0000,0.0000,-0.0112,0.0000
112,0.0000,0.0000,0.0000,0.0000,-0.0109,0.0000
113,0.0000,0.0000,0.0000,0.0000,-0.0036,0.0000
114,0.0000,0.0000,0.0000,0.0000,-0.0071,0.0000
115,0.0000,0.0000,0.0000,0.0000,-0.0103,0.0000
116,0.0000,0.0000,0.0000,0.0000,-0.0066,0.0000
117,0.0000,0.0000,0.0000,0.0000,-0.0057,0.0000
118,0.0000,0.0000,0.0000,0.0000,-0.0054,0.0000
119,0.0000,0.0000,0.0000,0.0000,-0.0103,0.0000
120,0.0000,0.0000,0.0000,0.0000,-0.0108,0.0000
121,0.0000,0.0000,0.0000,0.0000,-0.0073,0.0000
122,0.0000,0.0000,0.0000,0.0000,-0.0082,0.0000
123,0.0000,0.0000,0.0000,0.0000,-0.0041,0.0000
124,0.0000,0.0000,0.0000,0.0000,-0.0089,0.0000
125,0.0000,0.0000,0.0000,0.0000,-0.0093,0.0000
126,0.0000,0.0000,0.0000,0.0000,-0.0103,0.0000
127,0.0000,0.0000,0.0000,0.0000,-0.0105,0.0000
128,0.0000,0.0000,0.0000,0.0000,-0.0122,0.0000
129,0.0000,0.0000,0.0000,0.0000,-0.0090,0.0000
130,0.0000,0.0000,0.0000,0.0000,-0.0100,0.0000
131,0.0000,0.0000,0.0000,0.0000,-0.0081,0.0000
132,0.0000,0.0000,0.0000,0.0000,-0.0070,0.0000
133,0.0000,0.0000,0.0000,0.0000,-0.0105,0.0000
134,0.0000,0.0000,0.0000,0.0000,-0.0098,0.0000
135,0.0000,0.0000,0.0000,0.0000,-0.0072,0.0000
136,0.0000,0.0000,0.0000,0.0000,-0.0063,0.0000
137,0.0000,0.0000,0.0000,0.0000,-0.0077,0.0000
138,0.0000,0.0000,0.0000,0.0000,-0.0076,0.0000
139,0.0000,0.0000,0.0000,0.0000,-0.0093,0.0000
140,0.0000,0.0000,0.0000,0.0000,-0.0073,0.0000
141,0.0000,0.0000,0.0000,0.0000,-0.0084,0.0000
142,0.0000,0.0000,0.0000,0.0000,-0.0130,0.0000
143,0.0000,0.0000,0.0000,0.0000,-0.0099,0.0000
144,0.0000,0.0000,0.0000,0.0000,-0.0064,0.0000
145,0.0000,0.0000,0.0000,0.0000,-0.0112,0.0000
146,0.0000,0.0000,0.0000,0.0000,-0.0118,0.0000
147,0.0000,0.0000,0.0000,0.0000,-0.0115,0.0000
148,0.0000,0.0000,0.0000,0.0000,-0.0082,0.0000
149,0.0000,0.0000,0.0000,0.0000,-0.0094,0.0000
150,0.0000,0.0000,0.0000,0.0000,-0.0078,0.0000
151,-0.1186,0.0000,0.0000,0.0000,0.0058,0.0000
152,-0.3913,0.0000,0.0000,0.0000,0.0311,0.0000
153,-0.7387,0.0000,0.0000,0.0000,0.1301,0.0000
154,-1.3046,0.0000,0.0000,0.0000,0.2876,0.0000
155,-2.2089,0.0000,0.0000,0.0000,0.6236,0.0000
156,-3.3657,0.0000,0.0000,0.0000,1.3195,0.0000
157,-4.9222,0.0000,0.0000,0.0000,2.4046,0.0000
158,-5.8918,0.0000,0.0000,0.0000,2.6528,0.0000
159,-7.5408,0.0000,0.0000,0.0000,3.0939,0.0000
160,-9.2348,0.0000,0.0000,0.0000,4.0349,0.0000
161,-10.9143,0.0000,0.0000,0.0000,4.8487,0.0000
162,-12.2190,0.0000,0.0000,0.0000,5.4219,0.0000
163,-13.5979,0.0000,0.0000,0.0000,6.0632,0.0000
164,-15.0238,0.0000,0.0000,0.0000,6.8983,0.0000
165,-16.3870,0.0000,0.0000,0.0000,7.6338,0.0000
166,-17.7208,0.0000,0.0000,0.0000,8.3530,0.0000
167,-19.1465,0.0000,0.0000,0.0000,9.1493,0.0000
168,-20.5889,0.0000,0.0000,0.0000,9.8875,0.0000
169,-21.9886,0.0000,0.0000,0.0000,10.6760,0.0000
170,-23.2601,0.0000,0.0000,0.0000,11.2718,0.0000
171,-24.6176,0.0000,0.0000,0.0000,11.8747,0.0000
172,-26.1030,0.0000,0.0000,0.0000,12.7513,0.0000
173,-27.5740,0.0000,0.0000,0.0000,13.5182,0.0000
174,-28.7609,0.0000,0.0000,0.0000,14.2042,0.0000
175,-30.0592,0.0000,0.0000,0.0000,14.9776,0.0000
176,-31.4184,0.0000,0.0000,0.0000,15.7523,0.0000
177,-32.6238,0.0000,0.0000,0.0000,16.4666,0.0000
178,-33.9888,0.0000,0.0000,0.0000,17.1246,0.0000
179,-35.2872,0.0000,0.0000,0.0000,17.8711,0.0000
180,-36.4706,0.0000,0.0000,0.0000,18.5965,0.0000
181,-37.7704,0.0000,0.0000,0.0000,19.3336,0.0000
182,-39.0076,0.0000,0.0000,0.0000,20.0443,0.0000
183,-40.0079,0.0000,0.0000,0.0000,20.5763,0.0000
184,-40.8503,0.0000,0.0000,0.0000,21.1151,0.0000
185,-41.8144,0.0000,0.0000,0.0000,21.9241,0.0000
186,-42.9253,0.0000,0.0000,0.0000,22.1183,0.0000
187,-43.0427,0.0000,0.0000,0.0000,22.1394,0.0000
188,-43.1680,0.0000,0.0000,0.0000,22.1979,0.0000
189,-43.3229,0.0000,0.0000,0.0000,22.2777,0.0000
190,-43.3229,0.0000,0.0000,0.0000,22.3374,0.0000
191,-43.3229,0.0000,0.0000,0.0000,22.3910,0.0000
192,-43.3229,0.0000,0.0000,0.0000,22.4033,0.0000
193,-43.3229,0.0000,0.0000,0.0000,22.4050,0.0000
194,-43.3229,0.0000,0.0000,0.0000,22.4156,0.0000
195,-43.3229,0.0000,0.0000,0.0000,22.4174,0.0000
196,-43.3229,0.0000,0.0000,0.0000,22.4192,0.0000
197,-43.3229,0.0000,0.0000,0.0000,22.4191,0.0000
198,-43.3229,0.0000,0.0000,0.0000,22.4182,0.0000
199,-43.3229,0.0000,0.0000,0.0000,22.4149,0.0000
200,-43.2005,0.0000,0.0000,0.0000,22.3905,0.0000
201,-42.9487,0.0000,0.0000,0.0000,22.3146,0.0000
202,-42.5550,0.0000,0.0000,0.0000,22.1700,0.0000
203,-41.9520,0.0000,0.0000,0.0000,21.8817,0.0000
204,-40.8713,0.0000,0.0000,0.0000,21.4527,0.0000
205,-39.9065,0.0000,0.0000,0.0000,20.1934,0.0000
206,-38.9793,0.0000,0.0000,0.0000,19.8990,0.0000
207,-37.4744,0.0000,0.0000,0.0000,19.5377,0.0000
