timestamp,X,Y,Z,R
0.014748,249.985486,0.429429,99.974518,7.580113
0.024861,249.985486,0.429429,99.974518,7.580113
0.030979,249.985486,0.429429,99.974518,7.580113
0.044342,249.985486,0.429429,99.974518,7.580113
0.046648,249.985486,0.429429,99.974518,7.580113
0.072697,249.985486,0.429429,99.974518,7.580113
0.081735,249.985486,0.429429,99.974518,7.580113
0.09938,249.985486,0.429429,99.974518,7.580113
0.110688,249.985486,0.429429,99.974518,7.580113
0.119137,249.985486,0.429429,99.974518,7.580113
0.127486,249.985486,0.429429,99.974518,7.580113
0.136123,249.985486,0.429429,99.974518,7.580113
0.152862,249.985486,0.429408,99.974518,7.579741
0.164253,249.985518,0.428961,99.974548,7.571849
0.175957,249.985534,0.428324,99.974579,7.560619
0.18292,249.985582,0.427276,99.97464,7.542107
0.190856,249.985584,0.425764,99.974724,7.515428
0.200437,249.985664,0.423873,99.974846,7.482044
0.207375,249.985759,0.421705,99.974976,7.443774
0.214305,249.985839,0.419363,99.975113,7.40244
0.224228,249.985874,0.416951,99.97525,7.359854
0.231255,249.985969,0.414533,99.975403,7.317171
0.249133,249.986162,0.408487,99.975769,7.210464
0.258124,249.986336,0.404677,99.975983,7.14321
0.273008,249.986417,0.401818,99.976166,7.092733
0.274944,249.986544,0.39854,99.976349,7.034873
0.288587,249.986642,0.394704,99.976578,6.967171
0.290872,249.986817,0.390244,99.976837,6.888433
0.303384,249.986977,0.38527,99.977142,6.800632
0.313404,249.987138,0.379921,99.97744,6.706228
0.319602,249.987345,0.374339,99.977783,6.607684
0.336216,249.987743,0.362974,99.978455,6.407079
0.34292,249.98795,0.357288,99.978798,6.306711
0.350507,249.98811,0.351602,99.979126,6.206344
0.357759,249.988317,0.34589,99.979477,6.105525
0.367366,249.988523,0.340108,99.979836,6.00346
0.374212,249.988729,0.334208,99.980164,5.899315
0.382244,249.988936,0.328143,99.980537,5.792261
0.390736,249.989112,0.321871,99.980896,5.681543
0.398012,249.989349,0.315402,99.981293,5.567358
0.413638,249.989762,0.302062,99.982079,5.331881
0.424587,249.990014,0.295285,99.982483,5.212251
0.431107,249.990236,0.288494,99.982872,5.092394
0.440547,249.990488,0.281704,99.983276,4.972537
0.447087,249.990694,0.274914,99.983688,4.852679
0.457272,249.99096,0.268124,99.9841,4.732821
0.463606,249.991166,0.261334,99.984497,4.612963
0.472918,249.991387,0.254544,99.984894,4.493105
0.479444,249.991622,0.247753,99.985291,4.373248
0.496611,249.992078,0.234173,99.986115,4.133532
0.508124,249.992453,0.223988,99.98671,3.953746
0.513245,249.992658,0.217198,99.987122,3.833888
0.524899,249.992892,0.210407,99.987518,3.71403
0.528029,249.993096,0.203617,99.987915,3.594172
0.540774,249.993346,0.196827,99.988312,3.474314
0.556295,249.993814,0.183247,99.989143,3.234599
0.563462,249.994017,0.176456,99.989532,3.114741
0.57116,249.994281,0.169666,99.989937,2.994884
0.579148,249.994515,0.162876,99.990326,2.875026
0.588624,249.994702,0.156086,99.990738,2.755168
0.595882,249.994966,0.149296,99.99115,2.63531
0.602133,249.995183,0.142505,99.991547,2.515452
0.608007,249.995447,0.135715,99.991943,2.395595
0.62958,249.996005,0.11874,99.99295,2.09595
0.640327,249.996221,0.11195,99.993347,1.976093
0.640327,249.996453,0.105159,99.993759,1.856235
0.656391,249.996654,0.098379,99.994164,1.736547
0.663988,249.996901,0.091682,99.994576,1.61833
0.663988,249.997102,0.085168,99.994949,1.50335
0.679618,249.997363,0.078937,99.995316,1.393371
0.686301,249.997563,0.07309,99.995667,1.290161
0.690744,249.997687,0.067701,99.995972,1.195032
0.710711,249.99804,0.058023,99.996559,1.024199
0.718205,249.998163,0.053534,99.996826,0.944963
0.729115,249.998347,0.049145,99.997086,0.867494
0.735194,249.998516,0.044773,99.997353,0.790319
0.743482,249.998623,0.040401,99.997604,0.713144
0.750964,249.998792,0.036029,99.997864,0.635969
0.759994,249.998899,0.03167,99.998116,0.559023
0.774539,249.999205,0.023425,99.998611,0.413482
0.782722,249.999358,0.019809,99.998825,0.349659
0.793087,249.99945,0.016711,99.999016,0.294982
0.798145,249.999527,0.014233,99.999153,0.251228
0.807747,249.999572,0.012295,99.999268,0.217019
0.815144,249.999649,0.010762,99.999367,0.189971
0.824615,249.999679,0.0095,99.999435,0.167697
0.831228,249.999725,0.008374,99.999519,0.147809
0.841418,249.999756,0.00727,99.999573,0.128319
0.844924,249.999771,0.006165,99.999634,0.108829
0.856313,249.999863,0.005061,99.999695,0.089344
0.863384,249.999908,0.003975,99.999756,0.070167
0.871432,249.999908,0.00295,99.999817,0.052064
0.879903,249.999939,0.002031,99.999878,0.035842
0.886251,249.999939,0.001264,99.999924,0.022308
0.895071,249.999969,0.000694,99.999969,0.012247
0.90221,249.999969,0.000326,99.999962,0.005762
0.91265,249.999969,0.000119,100.0,0.0021
0.919456,249.999969,2.6e-05,100.0,0.000454
0.926961,249.999969,0.0,100.0,0.0
0.934355,249.999969,0.0,100.0,0.0
0.943575,249.999969,0.0,100.0,0.0
0.950816,249.999969,0.0,100.0,0.0
0.960868,249.999969,0.0,100.0,0.0
0.96668,249.999969,0.0,100.0,0.0
0.974494,249.999969,0.0,100.0,0.0
0.982562,249.999969,0.0,100.0,0.0
0.991348,249.999969,0.0,100.0,0.0
0.999803,249.999969,0.0,100.0,0.0
1.008617,249.999969,0.0,100.0,0.0
1.01314,249.999969,0.0,100.0,0.0
1.024443,249.999969,0.0,100.0,0.0
1.024443,249.999969,0.0,100.0,0.0
1.040863,249.999969,0.0,100.0,0.0
1.047359,249.999969,0.0,100.0,0.0
1.060662,249.999969,0.0,100.0,0.0
1.065181,249.999969,0.0,100.0,0.0
1.075004,249.999969,0.0,100.0,0.0
1.083545,249.999969,0.0,100.0,0.0
1.091043,249.999969,0.0,100.0,0.0
1.098525,249.999969,0.0,100.0,0.0
1.108552,249.999969,0.0,100.0,0.0
1.114281,249.999969,0.0,100.0,0.0
1.124195,249.999969,0.0,100.0,0.0
1.135103,249.999969,0.0,100.0,0.0
1.143588,249.999969,0.0,100.0,0.0
1.152286,249.999969,0.0,100.0,0.0
1.158333,249.999969,0.0,100.0,0.0
1.166606,249.999969,0.0,100.0,0.0
1.174766,249.999969,0.0,100.0,0.0
1.18307,249.999969,0.0,100.0,0.0
1.193194,249.999969,0.0,100.0,0.0
1.196336,249.999969,0.0,100.0,0.0
1.20773,249.999969,0.0,100.0,0.0
1.21527,249.999969,0.0,100.0,0.0
1.224329,249.999969,0.0,100.0,0.0
1.231668,249.999969,0.0,100.0,0.0
1.240697,249.999969,0.0,100.0,0.0
1.248258,249.999969,0.0,100.0,0.0
1.254607,249.999969,0.0,100.0,0.0
1.263451,249.999969,0.0,100.0,0.0
1.273062,249.999969,0.0,100.0,0.0
1.280468,249.999969,0.0,100.0,0.0
1.289793,249.999969,0.0,100.0,0.0
1.300975,249.999969,0.0,100.0,0.0
1.308594,249.999969,0.0,100.0,0.0
1.314792,249.999969,0.0,100.0,0.0
1.324318,249.999969,0.0,100.0,0.0
1.329652,249.999969,0.0,100.0,0.0
1.341089,249.999969,0.0,100.0,0.0
1.34461,249.999969,0.0,100.0,0.0
1.35631,249.999969,0.0,100.0,0.0
1.364527,249.999969,0.0,100.0,0.0
1.373139,249.999969,0.0,100.0,0.0
1.379724,249.999969,0.0,100.0,0.0
1.386383,249.999969,0.0,100.0,0.0
1.397899,249.999969,0.0,100.0,0.0
1.408512,249.999969,0.0,100.0,0.0
1.418576,249.999969,0.0,100.0,0.0
1.429646,249.999969,0.0,100.0,0.0
1.44092,249.999969,0.0,100.0,0.0
1.447672,249.999969,0.0,100.0,0.0
1.456372,249.999969,0.0,100.0,0.0
1.457458,249.999969,0.0,100.0,0.0
1.473048,249.999969,0.0,100.0,0.0
1.474201,249.999969,0.0,100.0,0.0
1.486708,249.999969,0.0,100.0,0.0
1.490978,249.999969,0.0,100.0,0.0
1.502792,249.999969,0.0,100.0,0.0
1.507907,249.999969,0.0,100.0,0.0
1.524172,249.999969,0.0,100.0,0.0
1.531581,249.999969,0.0,100.0,0.0
1.54122,249.999969,0.0,100.0,0.0
1.547127,249.999969,0.0,100.0,0.0
1.560862,249.999969,0.0,100.0,0.0
1.561862,249.999969,0.0,100.0,0.0
1.574893,249.999969,0.0,100.0,0.0
1.582749,249.999969,0.0,100.0,0.0
1.591253,249.999969,0.0,100.0,0.0
1.601135,249.999969,0.0,100.0,0.0
1.607763,249.999969,0.0,100.0,0.0
1.615711,249.999969,0.0,100.0,0.0
1.624188,249.999969,0.0,100.0,0.0
1.631392,249.999969,0.0,100.0,0.0
1.640294,249.999969,0.0,100.0,0.0
1.646425,249.999969,0.0,100.0,0.0
1.656641,249.999969,0.0,100.0,0.0
1.664569,249.999969,0.0,100.0,0.0
1.671696,249.999969,0.0,100.0,0.0
1.676793,249.999969,0.0,100.0,0.0
1.688642,249.999969,0.0,100.0,0.0
1.695757,249.999969,0.0,100.0,0.0
