dataset,family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
vertical_line_2,savgol,savgol window=11 poly=3,475.1548547379074,111.4687300567916,134.0575844026092,442.01292092501694,738.8911929503182
vertical_line_2,savgol,savgol window=7 poly=2,475.18159128238824,111.86126319779807,133.99096017768508,441.96269648027715,738.9521843621475
vertical_line_2,butterworth,butterworth cutoff=20Hz order=2,475.2291190097782,111.5693131718192,133.80000625863076,442.1454084782163,739.0151839241665
vertical_line_2,savgol,savgol window=81 poly=3,475.2898833430674,110.56748801379075,133.4955013344914,442.55423953007124,739.085896161145
vertical_line_2,butterworth,butterworth cutoff=20Hz order=4,475.29980579498437,111.50333724741547,133.77941410325738,442.24425325110576,739.1337989665086
vertical_line_2,moving_average,moving-average window=5,475.3412196967626,111.25994440032862,133.75001775426105,442.35894098071145,739.1940908936255
vertical_line_2,moving_average,moving-average window=11,475.4910020111279,111.00035372659946,133.52505867415545,442.652994084734,739.4355645076031
vertical_line_2,savgol,savgol window=41 poly=2,475.49149678844435,111.38131260835358,134.0387396611188,442.40251241354196,739.472233943058
vertical_line_2,moving_average,moving-average window=21,476.0583100418378,110.80987149552203,133.45338859051216,443.3315689331702,740.4094960512083
vertical_line_2,moving_average,moving-average window=41,476.3467345064481,110.2485615453486,133.50348569915212,443.76602557914947,740.8991907580227
vertical_line_2,kalman_1d,kalman Q=1e-06 R=1e-02,477.2773495002126,114.32365294430805,121.6878777938584,447.11948193010386,759.477206436804
vertical_line_2,wiener,wiener window=41,479.5233910024851,124.1744462960638,125.72230360101774,445.7771772790097,753.2764946874257
vertical_line_2,wiener,wiener window=21,487.8115147516428,105.40581906093094,126.25809231448362,459.24784306242947,765.9160570166551
vertical_line_2,wiener,wiener window=5,487.83553359049563,112.61934152634403,135.05103493126236,455.0402286740055,766.7713355634769
vertical_line_2,median,median size=41,490.10294281456027,464.97880135968205,121.86596956974181,95.62580353875335,1101.127300154872
vertical_line_2,median,median size=11,789.3961260071853,349.7921154876861,112.77571391921867,698.6224717598283,1538.7878039695684
vertical_line_2,median,median size=21,1064.0578319783774,506.0205808482966,105.95644982838081,930.0190709293239,2216.239410142566
square_1,wiener,wiener window=21,758.6007423343847,66.52218867814872,526.4166067512887,542.1581326699871,1149.9354656847845
square_1,kalman_1d,kalman Q=1e-06 R=1e-02,785.1289168731679,103.86222139555657,561.7705802439143,538.5664956619844,1246.393913783147
square_1,median,median size=3,785.137839875083,52.22834945269317,523.3423729054182,582.9462992754006,1203.36752414813
square_1,wiener,wiener window=81,790.2834592805373,57.25640518571905,522.8513523949072,589.8271894177462,1207.9003080232203
square_1,wiener,wiener window=5,791.8986474546125,58.46992280337007,530.7783211887653,584.7726991950362,1220.1050584903314
square_1,moving_average,moving-average window=41,792.33150001118,54.92174017198658,525.649213283953,590.3098448615004,1222.899256788231
square_1,moving_average,moving-average window=21,792.718273073541,56.11223682878104,527.7911859370074,588.803992335289,1224.3034279447354
square_1,moving_average,moving-average window=11,793.0835471228298,56.82029898848041,528.2408664332188,588.8247221114887,1225.1595663414232
square_1,savgol,savgol window=21 poly=3,793.2528191961683,57.52112335690972,528.4837229641438,588.7667705402421,1225.6493111697562
square_1,moving_average,moving-average window=5,793.4551835060544,57.26615248384896,528.554359401484,589.0008532846194,1225.925193372841
square_1,savgol,savgol window=11 poly=3,793.7092472949168,57.482227022782844,528.6802142126132,589.2091257932707,1226.4061425985951
square_1,moving_average,moving-average window=81,793.7305673488686,53.821641451566244,522.4872774582448,595.0785572928057,1224.1005059559009
square_1,raw,raw,793.7640413294354,57.5559888100843,528.955568932575,589.0285795739852,1226.5704997763423
square_1,kalman_1d,kalman Q=1e-02 R=1e-04,793.7698439117032,57.563353997289106,528.964749497296,589.0274349887749,1226.5854082760789
square_1,savgol,savgol window=7 poly=3,793.7965812514756,57.5509679590391,529.016328690731,589.0183549534671,1226.6339868044147
square_1,kalman_1d,kalman Q=1e-02 R=1e-03,793.8180756181108,57.62407334899222,529.0406581132518,589.0183234941067,1226.7089712117277
square_1,savgol,savgol window=7 poly=2,793.8296995155698,57.4727778191248,528.950765740818,589.1294926117139,1226.654112349694
square_1,butterworth,butterworth cutoff=20Hz order=4,793.8851039822792,57.47112659919513,529.0855069981521,589.0833168719702,1226.7707519706748
square_1,butterworth,butterworth cutoff=20Hz order=2,793.924932972451,57.44952949654505,529.0937587782084,589.1316874671427,1226.8306295204338
square_1,savgol,savgol window=41 poly=2,794.0538848751074,57.24486856446296,529.0745142434182,589.3426469265386,1226.9875933717294
square_1,kalman_1d,kalman Q=1e-04 R=1e-04,794.1342729023179,58.008454752766504,529.5076980219907,588.987147831548,1227.5060025896437
square_1,kalman_1d,kalman Q=1e-02 R=1e-02,794.1495588103629,58.00187886433826,529.525300834565,588.9925802444069,1227.5325584647605
square_1,savgol,savgol window=11 poly=2,794.158864828488,57.46892821828899,529.4742918823973,589.1032160078129,1227.2892106309193
square_1,savgol,savgol window=81 poly=3,794.1652711912368,57.47981333938896,529.4812352526818,589.1045497532795,1227.3318940471113
square_1,savgol,savgol window=41 poly=3,794.2468151529097,57.53450854393436,530.1571454213143,588.6010404899667,1227.5888627724657
square_1,butterworth,butterworth cutoff=10Hz order=4,794.3365382522808,57.27546391602298,529.398063292457,589.4300194408299,1227.5082230589346
square_1,butterworth,butterworth cutoff=10Hz order=2,794.3638993893046,57.26826535306764,529.6509393663276,589.2403863151258,1227.6046788051685
square_1,savgol,savgol window=81 poly=2,794.3887000061529,57.21560693372535,529.6532266501553,589.2768793358098,1227.586545447755
square_1,savgol,savgol window=21 poly=2,794.9050476361928,57.392686249889174,530.4279728410761,589.2590940751157,1228.6602647619104
