frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,landmarks,keyframe_added,keyframes,tracked
0,0.0,1784217385.162,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,582,0,579,579,1,1,1
1,0.03333333333333333,1784217385.1953332,-0.5559719714164437,-0.43775905845556906,0.08368293880053557,0.323275512465544,-0.1992552356208657,-0.040570487375785266,487,320,0.6570841889117043,264,0,0,579,0,1,1
2,0.06666666666666667,1784217385.2286665,0.025628697193004868,-0.9578038411959682,0.2710643564725075,0.021021134965507435,-0.5613999392471611,-0.014665649889699239,450,167,0.3711111111111111,365,0,0,579,0,1,1
3,0.1,1784217385.2619998,0.6521174388435753,0.21431248943051173,0.01342545987611743,-0.41218817237480215,0.08828863159459291,-0.015065347834631608,464,234,0.5043103448275862,400,10,390,969,1,2,1
4,0.13333333333333333,1784217385.2953334,-0.12879654784026684,-1.5127751874910729,0.5361938166038698,0.16988197651171594,-0.9035522587823145,0.051214899044670414,684,206,0.30116959064327486,256,0,0,969,0,2,1
5,0.16666666666666666,1784217385.3286667,0.3406439186436625,-1.1509818314016798,0.07031197287743396,-0.13823059237817967,-0.674207406485807,0.017273595938723622,596,218,0.36577181208053694,268,0,0,969,0,2,1
6,0.2,1784217385.362,0.08626082972968874,-0.6654117519632905,-0.2716938956043151,0.002851520478487198,-0.3924804794297374,-0.004171761576115301,543,198,0.36464088397790057,275,0,0,969,0,2,1
7,0.23333333333333334,1784217385.3953333,0.08066355387344615,-1.11470585101479,0.009546224191069541,0.009418443517020111,-0.6480291285725139,-0.025154997253884637,485,166,0.3422680412371134,272,0,0,969,0,2,1
8,0.26666666666666666,1784217385.4286666,0.39532687735072436,-0.9835518528581417,-0.04388260092845542,-0.22045158294474174,-0.591832831263633,-0.0056751151754496736,408,157,0.38480392156862747,341,0,0,969,0,2,1
9,0.3,1784217385.462,0.6548541358668274,-0.46323546569325913,0.3716770301867882,-0.3317980618397225,-0.27986310300590256,0.07733756009087486,315,140,0.4444444444444444,300,0,0,969,0,2,1
10,0.3333333333333333,1784217385.4953332,0.16154486014937675,-0.20755060894998678,0.5670569467333877,-0.24220335399429296,-0.22924713295900268,-0.1816984988843377,112,64,0.5714285714285714,38,0,0,969,0,2,1
11,0.36666666666666664,1784217385.5286665,0.45467646649155036,-0.39233885673534985,0.31793128706343055,-0.2502140103022094,-0.2698287538614218,0.037359591848702224,126,44,0.3492063492063492,56,0,0,969,0,2,1
12,0.4,1784217385.562,4.4040632367248485,-0.45771269634343525,0.6072512735836426,-2.597727983007303,-0.49513953661436655,-0.14337281428427376,158,52,0.3291139240506329,138,0,0,969,0,2,1
13,0.43333333333333335,1784217385.5953333,4.414333411961229,0.12131496516639118,0.6223840965048737,-2.5854357157453025,-0.1318106287593628,-0.05813062295396879,158,53,0.33544303797468356,116,0,0,969,0,2,1
14,0.4666666666666667,1784217385.6286666,2.5006259509705195,-0.9674325991707775,1.3077570820763924,-1.4322477146619446,-0.7666222638537449,-0.04647804474238314,164,67,0.40853658536585363,123,0,0,969,0,2,1
15,0.5,1784217385.662,-0.8673658991669306,0.09244791370204553,-0.06369734053228626,0.6054944202699545,0.024628875711182,0.17958399743686354,151,79,0.5231788079470199,85,0,0,969,0,2,1
16,0.5333333333333333,1784217385.6953332,-0.3060101650242544,-1.4106922078602935,0.8864279809465785,0.1509173959294431,-0.7342451190121801,-0.13875196175424404,121,44,0.36363636363636365,82,0,0,969,0,2,1
17,0.5666666666666667,1784217385.7286665,0.385792928696862,-1.4396576669147265,0.48044808537889594,-0.16299162087825975,-0.9029909189127531,-0.23350796408388136,144,45,0.3125,64,0,0,969,0,2,1
18,0.6,1784217385.7619998,-3.8288136809383353,-0.8172635769640664,0.29775223870866796,2.1890420396405115,-0.33626726724601985,-0.0594645152527113,127,61,0.48031496062992124,56,0,0,969,0,2,1
19,0.6333333333333333,1784217385.7953334,0.7982555025250377,-0.9525315689110698,0.6536430784815366,-0.4055044747328813,-0.502782911670316,-0.014212811956140967,120,63,0.525,59,0,0,969,0,2,1
20,0.6666666666666666,1784217385.8286667,0.19995585680081618,-0.3460836166573955,2.583840668223047,-0.3598515891820696,-0.8522447628102819,-0.2625985319524148,116,53,0.45689655172413796,30,0,0,969,0,2,1
21,0.7,1784217385.862,-0.09442100545011556,0.05240032296066488,0.9953483443104716,-0.0755583166343957,-0.24480313659721029,-0.2702617330604536,105,70,0.6666666666666666,40,0,0,969,0,2,1
22,0.7333333333333333,1784217385.8953333,3.953853828225128,-2.6287894703154393,2.2382328577061656,-2.025944445586185,-1.690906343573902,-0.3064405882444735,101,44,0.43564356435643564,58,0,0,969,0,2,1
23,0.7666666666666667,1784217385.9286666,1.1855260414813173,-1.0280404701293406,-0.4323838453403539,-0.6241359128615651,-0.19678456150198717,-0.978071201916389,104,45,0.4326923076923077,43,0,0,969,0,2,1
24,0.8,1784217385.962,3.695927488510325,-1.5917718309877387,0.7114557429606378,-1.4893630521794214,-0.8298356144215338,-0.675486472840371,92,32,0.34782608695652173,49,0,0,969,0,2,1
