rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imuTemp,output_Hz
01/01/2000,00:21:22.26,-46.39,45.90,-977.54,-1.98,0.34,-1.95,-135.90,21.30,37.65,31.05,0.0
01/01/2000,00:21:22.36,-128.91,-8.79,-1102.05,37.18,0.73,-4.61,-146.55,18.30,23.40,31.14,20.0
01/01/2000,00:21:22.46,32.23,28.32,-897.46,8.11,-1.96,1.02,-160.35,4.80,-16.65,31.19,14.286
01/01/2000,00:21:22.56,-68.36,14.16,-1068.85,-6.30,-2.36,0.70,-162.75,4.80,8.25,31.24,12.903
01/01/2000,00:21:22.67,-57.62,31.74,-991.21,-25.24,15.73,-23.52,-178.20,8.40,1.50,30.81,12.195
01/01/2000,00:21:22.77,-22.46,17.58,-933.59,-17.28,-9.11,-18.87,-214.80,20.55,-2.70,31.14,11.765
01/01/2000,00:21:22.87,-1.95,112.79,-732.91,58.95,-3.88,-87.11,-286.50,3.60,-60.30,30.95,11.475
01/01/2000,00:21:22.97,-109.86,-23.93,-1186.04,-11.64,1.31,-18.27,-397.35,-29.40,-79.80,31.14,11.268
01/01/2000,00:21:23.07,-9.28,137.21,-876.46,-63.91,18.80,-10.83,-535.65,-90.30,-146.25,31.05,11.111
01/01/2000,00:21:23.17,-117.68,44.92,-985.35,-3.27,0.47,5.76,-708.45,-14.70,-112.65,31.05,10.989
01/01/2000,00:21:23.27,88.87,54.20,-1086.43,14.38,7.98,-3.83,-918.45,2.40,-291.15,31.00,10.891
01/01/2000,00:21:23.37,-68.36,118.65,-957.03,-16.69,0.34,22.76,-950.10,32.40,-321.45,30.95,10.811
01/01/2000,00:21:23.47,-274.41,-113.77,-1050.29,101.59,-68.55,11.36,-682.80,65.25,-392.55,31.05,10.744
01/01/2000,00:21:23.57,58.11,3.42,-861.33,-25.29,15.44,13.31,-369.75,46.65,-512.25,31.05,10.606
01/01/2000,00:21:23.67,-36.62,79.59,-947.27,-22.58,9.08,5.02,-701.85,51.60,-649.20,31.14,10.563
01/01/2000,00:21:23.78,-131.35,101.07,-917.97,-29.61,22.21,1.23,-1066.05,101.70,-651.15,30.71,10.526
01/01/2000,00:21:23.88,183.59,118.16,-902.83,-1.66,16.61,31.03,-1140.60,87.15,-487.95,31.19,10.494
01/01/2000,00:21:23.98,35.16,-66.41,-876.95,4.99,-8.05,1.95,-941.85,-18.90,-264.45,30.95,10.465
01/01/2000,00:21:24.08,-47.36,63.48,-992.19,3.60,-10.04,-2.81,-948.75,-74.70,-284.10,31.24,10.440
01/01/2000,00:21:24.18,66.89,83.98,-1005.86,3.08,-1.57,2.41,-811.20,-60.90,-170.85,30.86,10.417
