rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imuTemp,output_Hz
01/01/2000,00:32:40.75,-34.67,-34.67,1032.23,1.94,-0.98,0.66,13.50,0.75,46.65,31.38,10.101
01/01/2000,00:32:40.85,-17.58,-39.06,1019.04,0.88,-0.82,-3.08,14.55,0.30,46.65,31.19,10.099
01/01/2000,00:32:40.96,-21.97,-39.06,1013.67,-0.44,-0.51,0.80,15.60,0.60,46.05,31.24,10.097
01/01/2000,00:32:41.06,-21.48,-26.86,1032.71,-1.27,-0.66,-1.63,14.85,1.80,47.55,31.14,10.095
01/01/2000,00:32:41.16,-23.93,-31.74,1022.95,0.21,-1.63,-0.13,15.75,1.20,46.95,31.38,10.093
01/01/2000,00:32:41.26,-41.99,-33.69,1008.30,2.70,-2.37,0.17,15.0,0.0,46.95,31.48,10.092
01/01/2000,00:32:41.36,-8.79,-23.93,1024.41,-1.52,-0.92,-0.27,15.75,-0.75,46.65,31.38,10.090
01/01/2000,00:32:41.46,-28.32,-27.83,1040.04,1.16,-1.19,-0.60,14.25,0.30,47.40,31.38,10.088
01/01/2000,00:32:41.56,-19.53,-34.67,1030.27,2.12,1.69,0.97,16.50,-0.75,46.65,31.24,10.087
01/01/2000,00:32:41.66,-26.37,-33.20,1010.25,3.40,-1.76,1.50,15.90,0.90,47.25,31.67,10.085
01/01/2000,00:32:41.76,-28.81,-32.23,1010.74,-3.63,0.66,0.94,14.40,2.10,46.80,31.14,10.084
01/01/2000,00:32:41.86,-15.63,-30.76,1028.32,1.27,-0.86,-0.08,16.20,0.30,46.95,31.53,10.066
01/01/2000,00:32:41.96,-22.95,-22.46,1032.71,0.55,-0.47,0.11,15.90,0.90,46.80,31.48,10.065
01/01/2000,00:32:42.07,-20.02,-39.06,1030.76,3.02,-0.35,0.27,15.0,0.0,46.95,31.24,10.064
01/01/2000,00:32:42.17,-28.32,-18.55,1017.09,2.02,-2.14,-1.69,16.35,0.15,48.0,31.38,10.063
01/01/2000,00:32:42.27,-16.60,-29.79,1015.63,1.55,0.47,0.94,14.85,0.90,46.80,31.34,10.062
01/01/2000,00:32:42.37,-29.30,-41.50,1027.34,0.60,0.03,2.09,14.85,0.90,48.0,31.53,10.061
01/01/2000,00:32:42.47,-23.93,-23.44,1039.55,0.35,-0.48,-2.49,15.45,0.75,47.40,31.34,10.060
01/01/2000,00:32:42.57,-16.60,-40.53,1019.04,0.41,0.17,0.85,15.60,0.60,46.05,31.24,10.059
01/01/2000,00:32:42.67,-24.41,-44.43,1012.70,0.98,0.29,2.54,15.15,1.80,47.25,31.19,10.058
01/01/2000,00:32:42.77,-15.63,-30.27,1025.39,1.73,-0.01,0.19,16.35,0.60,47.25,31.24,10.057
01/01/2000,00:32:42.87,-39.55,-26.37,1036.13,2.39,0.28,-0.41,16.20,1.20,48.60,31.19,10.057
01/01/2000,00:32:42.97,-21.00,-40.53,1030.27,-0.15,0.12,-0.66,15.60,0.15,46.80,31.19,10.042
01/01/2000,00:32:43.07,-20.51,-39.55,1026.37,0.37,-1.70,1.02,15.75,1.50,47.40,31.53,10.041
01/01/2000,00:32:43.18,-40.53,-28.32,1032.23,1.88,-2.63,1.94,15.0,-0.75,46.95,31.38,10.041
01/01/2000,00:32:43.28,-21.48,-39.06,1038.09,3.57,0.66,1.78,15.75,0.0,46.95,31.24,10.040
01/01/2000,00:32:43.38,-39.55,-25.88,1019.53,1.44,0.63,-0.99,16.20,-0.75,47.40,31.38,10.040
01/01/2000,00:32:43.48,-34.18,-29.79,1040.04,1.18,-1.40,-0.16,15.15,-0.60,48.0,31.34,10.039
01/01/2000,00:32:43.58,-38.09,-28.81,1024.90,1.98,0.45,-2.14,16.20,0.0,46.20,31.34,10.039
01/01/2000,00:32:43.68,-42.48,-29.30,1025.39,-1.39,0.55,0.01,15.45,0.75,48.15,31.38,10.038
01/01/2000,00:32:43.78,-24.41,-30.76,1026.86,-0.18,-0.55,0.76,15.45,1.50,46.20,31.14,10.038
01/01/2000,00:32:43.88,-22.95,-33.20,1032.71,0.53,-0.73,-1.69,14.25,-1.50,47.40,31.24,10.037
01/01/2000,00:32:43.98,-19.53,-27.34,1013.18,1.30,-1.37,2.55,15.60,0.60,47.25,31.38,10.037
01/01/2000,00:32:44.08,-26.37,-42.97,1025.88,0.02,0.60,0.24,15.60,-0.15,46.50,31.19,10.024
01/01/2000,00:32:44.18,-19.53,-23.93,1033.69,-1.05,-0.70,-1.80,14.85,0.15,47.55,31.53,10.024
01/01/2000,00:32:44.29,-18.07,-32.23,1040.04,0.44,0.44,-0.66,15.45,0.75,46.95,31.38,10.024
01/01/2000,00:32:44.39,-33.69,-40.53,1010.74,1.23,0.05,-3.01,14.85,0.60,46.80,31.24,10.023
01/01/2000,00:32:44.49,-15.63,-47.36,1012.70,0.19,-1.08,-0.79,14.40,0.60,47.55,31.19,10.023
01/01/2000,00:32:44.59,-22.46,-29.30,1031.25,-1.44,-0.10,-0.76,15.0,0.75,46.65,31.34,10.023
01/01/2000,00:32:44.69,-10.25,-38.09,1006.84,1.07,-0.50,1.49,15.45,2.40,47.70,31.38,10.023
01/01/2000,00:32:44.79,-30.76,-32.23,1022.95,-2.25,1.47,0.73,14.25,0.75,47.70,31.38,10.022
01/01/2000,00:32:44.89,-21.00,-31.74,1023.44,-0.15,-1.72,-0.31,14.25,-0.30,47.70,31.14,10.022
01/01/2000,00:32:44.99,-31.25,-39.06,1019.53,-1.45,0.11,-0.17,16.35,1.80,48.30,31.53,10.022
01/01/2000,00:32:45.09,-24.41,-36.13,1031.74,0.21,0.10,-0.44,16.20,1.50,46.95,31.38,10.022
