rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imuTemp,output_Hz
01/01/2000,00:22:09.77,-86.43,-76.17,-996.58,-1.21,-0.86,0.61,28.50,40.35,18.15,31.14,0.0
01/01/2000,00:22:09.87,-84.47,-68.36,-983.40,1.27,-0.30,-1.98,27.90,41.85,19.50,31.14,20.0
01/01/2000,00:22:09.97,-86.91,-63.48,-1000.98,-0.52,-1.76,1.66,28.80,40.95,19.05,30.95,15.0
01/01/2000,00:22:10.07,-86.43,-74.71,-992.19,-0.61,2.26,1.46,28.95,41.25,18.15,31.19,13.333
01/01/2000,00:22:10.17,-93.75,-59.57,-993.16,-3.28,-1.45,1.69,27.90,40.20,19.80,30.81,12.195
01/01/2000,00:22:10.27,-72.27,-62.50,-996.58,-3.21,3.98,2.21,27.75,41.25,19.65,30.95,11.765
01/01/2000,00:22:10.38,50.29,-82.03,-1031.74,-2.72,18.02,16.76,30.60,39.75,20.55,30.81,11.475
01/01/2000,00:22:10.48,-67.38,-41.02,-948.24,-3.59,30.84,10.34,35.55,36.75,23.40,31.14,11.268
01/01/2000,00:22:10.58,-23.44,-62.01,-984.86,-0.99,6.40,2.72,37.05,35.25,22.35,31.00,11.111
01/01/2000,00:22:10.68,-4.88,-44.92,-988.77,0.29,2.15,-4.62,37.65,37.35,22.95,31.14,10.989
01/01/2000,00:22:10.78,6.35,-82.52,-924.80,-2.98,7.67,1.58,36.45,37.80,22.50,31.14,10.891
01/01/2000,00:22:10.88,8.30,-41.02,-995.12,-0.11,5.82,-0.63,37.20,37.05,23.25,31.05,10.811
01/01/2000,00:22:10.98,-30.76,-85.94,-1072.27,-4.44,-5.93,-13.27,32.40,37.20,21.90,31.05,10.744
01/01/2000,00:22:11.08,10.74,-29.79,-1005.86,-1.79,-1.71,-12.96,26.25,39.60,17.70,31.00,10.687
01/01/2000,00:22:11.18,-7.81,-36.13,-990.72,-1.27,0.90,-3.18,23.55,40.35,15.15,31.00,10.563
01/01/2000,00:22:11.28,94.73,-21.00,-988.28,-0.84,-2.08,-1.15,24.15,41.40,16.50,31.05,10.526
01/01/2000,00:22:11.38,-18.07,-50.29,-980.96,-1.89,-0.63,-1.50,24.15,40.20,16.50,31.05,10.494
01/01/2000,00:22:11.49,-25.39,-43.46,-1002.93,-0.36,-0.45,1.45,23.10,39.15,14.70,31.05,10.465
01/01/2000,00:22:11.59,-23.93,-40.04,-988.77,-0.52,-4.24,-0.53,22.80,41.25,16.95,31.05,10.440
01/01/2000,00:22:11.69,-35.16,-36.13,-990.23,-1.36,-2.24,-3.16,22.95,41.85,15.30,30.95,10.417
01/01/2000,00:22:11.79,-37.11,-40.04,-993.65,-2.66,-0.59,-0.54,23.10,41.25,16.65,31.00,10.396
01/01/2000,00:22:11.89,-45.41,-40.04,-995.61,-0.60,-1.76,-1.71,22.95,39.45,16.05,31.05,10.377
01/01/2000,00:22:11.99,99.61,-21.48,-1025.39,-0.50,-0.18,2.61,22.35,41.55,16.65,31.05,10.360
01/01/2000,00:22:12.09,-40.53,-38.57,-987.79,1.15,-0.18,-0.14,22.50,40.65,15.75,31.05,10.345
01/01/2000,00:22:12.19,-46.88,-41.50,-1005.37,-1.86,1.45,-1.30,22.95,40.95,18.0,31.05,10.331
01/01/2000,00:22:12.29,-42.48,-35.64,-994.14,-1.11,-2.41,-0.15,23.55,40.35,16.95,30.95,10.277
01/01/2000,00:22:12.39,-40.04,-42.48,-983.40,-1.24,-2.66,-0.15,23.25,39.75,16.50,31.05,10.266
01/01/2000,00:22:12.49,-43.95,-47.85,-989.26,-0.69,0.15,1.16,22.95,40.65,17.25,31.05,10.256
01/01/2000,00:22:12.60,-41.99,-44.43,-997.56,0.47,-0.69,-0.37,21.75,40.95,18.0,31.05,10.247
01/01/2000,00:22:12.70,-47.36,-36.13,-988.77,-1.89,-1.20,-0.44,22.95,39.45,16.80,30.71,10.239
01/01/2000,00:22:12.80,-32.71,-46.39,-987.79,-1.44,0.11,-0.53,23.10,40.80,17.70,31.19,10.231
01/01/2000,00:22:12.90,-40.04,-44.43,-977.54,1.63,1.21,0.47,23.70,40.20,18.0,30.95,10.224
01/01/2000,00:22:13.00,-35.16,-48.83,-989.75,1.08,-3.75,-0.64,23.55,41.25,16.95,31.05,10.217
01/01/2000,00:22:13.10,-30.76,-41.50,-984.86,2.50,-0.62,0.14,21.90,41.25,18.60,31.00,10.210
01/01/2000,00:22:13.20,-49.32,-36.13,-1013.67,2.79,0.43,2.46,23.70,40.65,17.55,30.81,10.204
01/01/2000,00:22:13.30,-40.53,-44.43,-1024.41,-0.84,1.28,0.60,23.10,40.05,17.40,31.19,10.198
01/01/2000,00:22:13.40,-49.32,-56.15,-990.72,-0.08,-1.54,0.03,24.75,40.35,18.15,30.81,10.193
01/01/2000,00:22:13.50,-48.83,-44.43,-993.65,0.95,-0.30,0.58,25.05,40.35,17.70,31.00,10.160
01/01/2000,00:22:13.60,-28.81,-38.09,-996.09,0.79,-1.88,-1.05,23.10,39.60,18.90,30.86,10.156
01/01/2000,00:22:13.71,-40.04,-41.02,-984.38,-0.39,0.27,-0.38,22.50,42.15,19.05,31.05,10.152
01/01/2000,00:22:13.81,-37.60,-47.36,-998.54,-1.16,1.11,0.81,24.15,40.65,18.0,31.38,10.149
01/01/2000,00:22:13.91,-45.41,-42.97,-983.89,-0.17,-0.69,-0.64,23.55,41.25,17.70,31.14,10.145
01/01/2000,00:22:14.01,-36.62,-32.71,-983.40,-0.25,-0.69,-0.32,24.45,40.20,18.0,31.05,10.142
01/01/2000,00:22:14.11,-38.09,-32.23,-984.38,1.32,-1.17,-1.59,24.30,40.35,18.90,30.86,10.138
01/01/2000,00:22:14.21,-57.62,-37.60,-988.77,1.0,0.79,-1.01,23.25,39.75,18.0,31.14,10.135
01/01/2000,00:22:14.31,-49.80,-41.99,-996.09,-0.16,0.71,-2.24,23.25,41.85,16.80,31.14,10.132
01/01/2000,00:22:14.41,-46.39,-37.60,-980.96,-1.60,-1.87,0.06,23.25,40.65,17.55,31.00,10.129
01/01/2000,00:22:14.51,-52.25,-48.83,-983.89,-0.50,0.35,0.52,22.80,40.35,17.70,31.05,10.105
01/01/2000,00:22:14.61,-34.67,-43.95,-983.40,1.02,-0.75,0.21,23.55,40.35,18.15,31.05,10.103
01/01/2000,00:22:14.71,-47.36,-29.79,-971.19,2.08,0.41,1.15,21.90,40.35,16.65,31.05,10.101
01/01/2000,00:22:14.82,-45.41,-46.88,-993.16,3.31,-0.60,-0.17,24.90,41.40,17.55,30.86,10.099
01/01/2000,00:22:14.92,-35.64,-34.18,-982.42,-1.12,-0.11,-3.76,23.85,39.60,17.40,31.14,10.097
01/01/2000,00:22:15.02,-34.67,-32.71,-992.68,-0.55,-0.08,0.05,24.15,41.85,16.80,30.95,10.095
01/01/2000,00:22:15.12,-38.09,-32.23,-995.12,1.69,0.49,1.20,22.95,40.20,17.25,30.86,10.093
01/01/2000,00:22:15.22,-54.69,-40.53,-978.52,-0.27,0.14,0.32,23.70,40.65,18.30,31.05,10.092
01/01/2000,00:22:15.32,-44.43,-37.11,-990.23,0.56,-0.11,-1.87,22.50,39.45,16.50,31.05,10.090
01/01/2000,00:22:15.42,-40.53,-42.97,-987.79,-1.47,-1.98,2.31,23.25,38.55,17.55,30.86,10.088
01/01/2000,00:22:15.52,-28.81,-37.60,-973.14,0.02,1.06,-0.03,23.10,41.25,18.15,30.86,10.087
01/01/2000,00:22:15.62,-33.69,-29.79,-998.05,-0.07,1.36,-0.85,23.70,40.20,18.0,31.05,10.068
01/01/2000,00:22:15.72,-42.97,-36.62,-979.49,-1.15,1.18,1.40,23.70,40.65,18.75,30.86,10.067
01/01/2000,00:22:15.82,-49.80,-42.97,-974.12,2.37,-0.69,-0.04,23.25,40.65,17.25,30.95,10.066
01/01/2000,00:22:15.93,-32.23,-40.04,-977.05,-0.18,-0.29,3.0,24.15,41.85,18.75,31.05,10.065
01/01/2000,00:22:16.03,-48.83,-48.83,-981.93,-1.43,-0.53,2.66,22.80,39.60,16.65,31.00,10.064
01/01/2000,00:22:16.13,-41.50,-32.23,-979.00,-0.97,-0.42,-2.99,22.35,40.05,17.70,30.95,10.063
01/01/2000,00:22:16.23,-50.29,-45.90,-975.59,0.54,0.95,-1.26,23.85,40.80,16.95,31.14,10.062
01/01/2000,00:22:16.33,-35.16,-31.74,-983.40,1.12,-0.67,-0.44,24.45,40.65,18.0,30.95,10.061
01/01/2000,00:22:16.43,-52.25,-40.04,-1000.0,1.84,0.80,0.53,23.70,40.95,17.25,31.00,10.060
01/01/2000,00:22:16.53,-33.69,-37.11,-988.77,2.44,0.87,-2.09,23.85,40.05,17.70,31.05,10.059
01/01/2000,00:22:16.63,-47.36,-44.92,-978.52,-0.31,-0.48,-0.47,23.10,40.80,18.60,30.95,10.058
01/01/2000,00:22:16.73,-45.41,-35.64,-996.09,-0.70,0.70,2.22,24.15,38.55,16.80,31.14,10.043
01/01/2000,00:22:16.83,-35.64,-36.62,-980.47,0.28,1.03,-1.15,24.30,40.80,18.15,31.05,10.042
01/01/2000,00:22:16.93,-37.60,-59.08,-988.77,2.19,2.34,1.31,24.75,39.60,18.60,30.86,10.042
01/01/2000,00:22:17.04,-48.34,-33.20,-967.77,0.66,1.38,-2.16,23.55,40.35,17.40,31.00,10.041
01/01/2000,00:22:17.14,-38.09,-41.99,-984.86,1.51,0.26,-0.13,23.85,40.05,18.15,30.95,10.041
01/01/2000,00:22:17.24,-37.60,-46.39,-990.72,-0.91,-0.66,-1.12,23.25,40.20,16.50,31.24,10.040
01/01/2000,00:22:17.34,-42.97,-31.74,-974.61,-0.48,0.76,-1.34,22.50,39.45,18.75,30.95,10.040
01/01/2000,00:22:17.44,-32.71,-41.99,-985.84,2.82,-2.02,-1.02,23.70,42.15,18.30,31.05,10.039
01/01/2000,00:22:17.54,-35.16,-43.95,-990.23,0.88,2.31,1.92,23.10,41.25,17.70,31.00,10.039
01/01/2000,00:22:17.64,-30.27,-43.46,-984.38,3.47,0.05,-1.03,24.30,40.35,15.90,31.14,10.038
01/01/2000,00:22:17.74,-38.57,-46.39,-986.33,2.31,-0.47,-1.11,23.70,39.75,18.0,31.14,10.038
01/01/2000,00:22:17.84,-33.20,-39.55,-982.91,1.39,1.33,0.68,23.85,42.0,17.70,31.05,10.025
01/01/2000,00:22:17.94,-44.92,-50.29,-989.75,1.06,0.98,0.37,22.50,41.40,16.80,31.05,10.024
01/01/2000,00:22:18.05,-39.06,-58.59,-995.12,2.59,1.08,-0.57,23.85,40.35,18.90,30.71,10.024
