timestamp,data
1784215557.5204957,"01/01/2000,03:53:38.56,-970.21,-67.38,20.51,0.08,-1.05,-3.96,61.35,30.0,53.40,31.77,13.54,982.22,-37.45,-35.0,-621.25,-245.0,1,53.481,"
1784215557.5374324,"01/01/2000,03:53:38.57,-1028.32,-47.36,-40.53,-0.34,0.79,1.47,61.95,29.40,53.70,31.72,13.66,978.81,-36.11,113.75,-481.25,-201.25,1,53.481,"
1784215557.5589278,"01/01/2000,03:53:38.60,-1000.0,-5.37,89.36,1.12,-1.06,1.85,61.35,29.55,55.05,31.72,13.54,977.46,-36.11,-183.75,-612.50,-262.50,1,53.480,"
1784215557.578566,"01/01/2000,03:53:38.61,-989.75,-16.11,80.08,-0.23,0.41,-1.11,60.60,28.05,53.10,31.72,13.42,977.83,-36.97,-52.50,-586.25,-183.75,1,53.480,"
1784215557.5951662,"01/01/2000,03:53:38.63,-1018.07,-74.22,-57.62,1.39,-2.15,-1.25,60.0,28.20,53.25,31.53,13.42,978.07,-37.70,595.0,-280.0,-210.0,1,53.481,"
1784215557.6119087,"01/01/2000,03:53:38.65,-1006.35,-39.06,50.29,-2.27,-0.98,-0.67,61.20,28.95,54.0,31.86,13.54,979.17,-35.14,26.25,-437.50,-131.25,1,53.480,"
1784215557.6315634,"01/01/2000,03:53:38.67,-985.35,7.81,-49.80,2.81,0.85,1.27,60.90,30.60,55.20,31.72,13.54,977.95,-33.43,-201.25,-455.0,-262.50,1,53.481,"
1784215557.6608825,"01/01/2000,03:53:38.69,-1004.39,-36.13,22.95,-0.03,0.17,-1.90,59.10,26.85,55.35,31.72,13.42,973.68,-33.31,-87.50,-1076.25,-43.75,1,53.480,"
1784215557.6770134,"01/01/2000,03:53:38.71,-986.82,-23.93,6.35,4.15,-1.98,0.18,61.80,29.25,53.85,31.77,13.18,971.73,-35.01,350.0,-2380.0,43.75,1,53.480,"
1784215557.697197,"01/01/2000,03:53:38.73,-996.09,-7.32,0.49,0.15,-2.02,0.95,61.20,29.40,53.70,31.53,13.42,972.46,-36.60,857.50,-411.25,-507.50,1,53.479,"
1784215557.7325487,"01/01/2000,03:53:38.77,-1021.97,-42.97,-8.79,-0.07,0.63,0.95,61.65,28.20,54.0,31.86,13.91,979.78,-34.53,-262.50,402.50,-472.50,1,53.480,"
1784215557.7700214,"01/01/2000,03:53:38.81,-1001.95,-20.02,19.53,1.40,0.47,-1.69,61.35,29.55,53.85,31.77,15.25,981.25,-34.89,17.50,-393.75,201.25,1,53.480,"
1784215557.7882893,"01/01/2000,03:53:38.82,-1002.93,-22.95,14.16,-0.47,-1.41,-0.56,61.95,29.40,53.25,31.91,13.91,979.90,-35.75,-323.75,341.25,-568.75,1,53.480,"
1784215557.8119283,"01/01/2000,03:53:38.84,-989.75,-27.34,65.92,3.79,0.91,0.63,61.35,30.75,53.40,31.77,11.59,979.90,-37.58,52.50,-1977.50,17.50,1,53.480,"
1784215557.8295298,"01/01/2000,03:53:38.86,-1004.39,-18.07,104.49,1.84,-2.05,0.01,61.65,30.15,52.50,31.72,10.98,981.00,-39.89,673.75,-2187.50,-148.75,1,53.480,"
1784215557.844529,"01/01/2000,03:53:38.88,-1032.23,-38.57,-63.96,-1.58,-1.95,-1.11,59.70,28.95,53.70,31.77,12.81,983.08,-39.53,691.25,-1242.50,-542.50,1,53.479,"
1784215557.8781862,"01/01/2000,03:53:38.91,-1000.0,3.91,70.31,0.70,-0.09,0.78,61.20,30.15,53.25,31.67,15.13,985.15,-35.01,-621.25,-183.75,-122.50,1,53.480,"
