timestamp,rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
1784211147.4937212,"01/01/2000,02:40:08.25,-851.07,-60.55,-514.65,-0.11,-0.33,2.22,72.45,51.90,-10.05,28.03,7.08,-18.30,-993.32,271.25,-1032.50,-315.0,1,53.307,"
1784211147.5144908,"01/01/2000,02:40:08.27,-861.82,-59.57,-525.39,-1.76,-0.44,0.17,71.10,52.50,-10.50,28.17,7.20,-18.18,-993.32,245.0,-910.0,-271.25,1,53.191,"
1784211147.5348964,"01/01/2000,02:40:08.29,-848.63,-57.13,-531.25,0.49,2.34,-0.70,71.70,53.10,-9.30,28.37,7.20,-18.06,-993.08,315.0,-936.25,-323.75,1,53.179,"
1784211147.5567136,"01/01/2000,02:40:08.31,-841.31,-50.29,-523.44,-1.18,-1.38,0.05,71.40,51.60,-10.50,28.41,7.20,-18.06,-993.08,245.0,-770.0,-332.50,1,53.167,"
1784211147.5658507,"01/01/2000,02:40:08.33,-844.73,-57.62,-521.97,1.34,2.40,-0.82,71.40,51.30,-10.95,28.51,7.08,-18.06,-993.20,341.25,-796.25,-201.25,1,53.257,"
1784211147.586716,"01/01/2000,02:40:08.35,-865.23,-51.27,-519.04,0.85,-0.83,1.40,72.0,51.45,-9.30,28.22,6.95,-18.06,-993.20,323.75,-927.50,-315.0,1,53.244,"
1784211147.6176293,"01/01/2000,02:40:08.38,-842.77,-53.71,-514.65,0.98,-0.66,-0.70,71.70,53.10,-10.35,28.22,6.83,-18.18,-993.08,271.25,-831.25,-297.50,1,53.220,"
1784211147.6496336,"01/01/2000,02:40:08.40,-847.17,-41.99,-517.09,0.86,-1.90,-1.93,72.75,52.65,-10.35,28.17,6.83,-18.06,-993.08,245.0,-866.25,-358.75,1,53.208,"
1784211147.6585195,"01/01/2000,02:40:08.42,-851.56,-50.78,-532.71,1.53,0.21,-0.71,72.45,51.90,-10.35,28.41,6.95,-18.06,-993.08,140.0,-866.25,-218.75,1,53.195,"
1784211147.6788008,"01/01/2000,02:40:08.44,-855.96,-52.73,-523.44,0.79,-2.09,1.15,73.20,52.20,-11.85,28.37,6.71,-18.06,-992.84,148.75,-857.50,-323.75,1,53.184,"
1784211147.6892734,"01/01/2000,02:40:08.46,-855.96,-48.83,-532.71,0.39,0.45,-0.02,71.70,53.10,-10.05,28.32,6.71,-18.06,-992.84,105.0,-840.0,-315.0,1,53.271,"
1784211147.7206755,"01/01/2000,02:40:08.48,-851.07,-60.06,-528.81,3.56,-1.32,-1.27,72.60,51.30,-9.75,28.22,6.83,-17.81,-992.84,306.25,-770.0,-271.25,1,53.259,"
1784211147.7413332,"01/01/2000,02:40:08.50,-847.17,-54.69,-521.00,1.35,1.99,-1.29,71.10,52.80,-10.20,28.41,6.95,-17.93,-993.08,131.25,-831.25,-271.25,1,53.247,"
1784211147.7516537,"01/01/2000,02:40:08.51,-850.10,-55.18,-532.71,2.97,0.49,1.30,73.05,52.05,-8.70,28.08,6.95,-17.93,-993.08,280.0,-822.50,-306.25,1,53.235,"
1784211147.772281,"01/01/2000,02:40:08.53,-846.19,-56.64,-519.04,-1.82,-1.05,-0.01,71.40,52.05,-10.50,28.37,7.08,-17.93,-993.20,122.50,-892.50,-297.50,1,53.223,"
1784211147.8056302,"01/01/2000,02:40:08.57,-856.45,-52.73,-538.09,-0.64,-0.89,1.47,69.90,52.05,-9.0,28.60,6.95,-18.06,-993.32,183.75,-866.25,-332.50,1,53.297,"
1784211147.8454254,"01/01/2000,02:40:08.60,-849.61,-48.34,-530.27,1.21,-0.79,1.84,72.0,50.55,-9.60,28.22,6.83,-17.93,-993.32,122.50,-796.25,-227.50,1,53.273,"
1784211147.8670166,"01/01/2000,02:40:08.63,-860.84,-53.22,-532.71,2.74,0.53,0.15,69.90,50.40,-7.20,28.22,6.95,-18.06,-993.45,288.75,-892.50,-280.0,1,53.261,"
1784211147.8825576,"01/01/2000,02:40:08.64,-861.82,-55.18,-532.23,-0.03,-1.02,-2.32,69.90,50.40,-7.20,28.17,6.83,-18.06,-993.32,210.0,-936.25,-280.0,1,53.249,"
1784211147.9028835,"01/01/2000,02:40:08.66,-862.30,-57.62,-518.07,2.66,0.44,-0.93,71.25,50.55,-10.80,28.56,6.83,-18.18,-993.45,315.0,-866.25,-201.25,1,53.237,"
1784211147.9230757,"01/01/2000,02:40:08.68,-857.91,-51.27,-537.11,0.44,-0.60,-0.79,70.95,52.65,-10.05,28.37,6.83,-18.30,-993.08,288.75,-822.50,-280.0,1,53.226,"
1784211147.9436672,"01/01/2000,02:40:08.70,-848.14,-51.76,-534.67,3.52,0.18,-1.39,71.70,53.10,-11.10,28.32,6.95,-18.06,-993.08,280.0,-787.50,-253.75,1,53.309,"
1784211147.9541404,"01/01/2000,02:40:08.72,-847.66,-53.22,-516.11,-0.37,-2.39,0.74,71.70,51.90,-10.35,28.37,6.83,-18.06,-993.20,148.75,-761.25,-402.50,1,53.298,"
1784211147.9749978,"01/01/2000,02:40:08.73,-854.00,-58.11,-519.53,1.40,-0.73,-0.85,71.70,51.90,-10.35,28.32,6.95,-18.06,-993.32,393.75,-831.25,-236.25,1,53.286,"
1784211148.0070512,"01/01/2000,02:40:08.77,-852.05,-56.15,-526.86,3.21,1.51,1.45,72.75,52.20,-10.35,28.32,7.20,-18.06,-993.32,262.50,-805.0,-236.25,1,53.263,"
1784211148.0370116,"01/01/2000,02:40:08.80,-852.05,-46.88,-531.25,1.91,0.36,-1.17,71.70,51.45,-10.35,28.41,7.20,-18.06,-993.45,227.50,-883.75,-323.75,1,53.251,"
1784211148.067825,"01/01/2000,02:40:08.82,-853.03,-59.57,-533.69,-0.03,0.65,1.0,73.05,52.50,-10.50,28.37,7.08,-18.06,-993.32,245.0,-857.50,-341.25,1,53.240,"
1784211148.098509,"01/01/2000,02:40:08.86,-845.21,-57.13,-527.34,-1.23,-1.14,-2.67,72.60,51.30,-10.50,28.51,6.83,-18.06,-993.08,157.50,-953.75,-288.75,1,53.217,"
1784211148.119168,"01/01/2000,02:40:08.87,-854.00,-54.69,-517.09,-0.30,1.69,-2.12,72.60,51.30,-10.50,28.32,6.95,-18.18,-993.20,323.75,-875.0,-306.25,1,53.206,"
1784211148.1293495,"01/01/2000,02:40:08.90,-853.03,-53.22,-528.32,0.18,-0.78,-1.63,73.05,51.60,-10.50,28.51,6.83,-18.06,-993.20,367.50,-778.75,-358.75,1,53.195,"
1784211148.1496975,"01/01/2000,02:40:08.91,-846.68,-52.25,-521.48,1.42,-1.0,-1.39,72.60,52.80,-10.20,28.37,6.83,-17.93,-993.20,148.75,-997.50,-350.0,1,53.184,"
1784211148.1809406,"01/01/2000,02:40:08.95,-861.82,-64.94,-531.74,-0.14,-0.89,-3.32,72.45,51.45,-11.55,28.41,6.83,-18.06,-993.32,350.0,-901.25,-376.25,1,53.253,"
1784211148.211869,"01/01/2000,02:40:08.97,-854.00,-61.04,-533.20,0.11,0.56,-1.77,72.60,52.05,-9.75,28.03,6.83,-18.06,-993.32,332.50,-875.0,-411.25,1,53.242,"
1784211148.2223265,"01/01/2000,02:40:08.99,-854.49,-45.41,-513.67,-0.57,-1.47,-0.01,72.60,51.60,-12.15,28.37,6.83,-18.06,-993.08,236.25,-840.0,-332.50,1,53.231,"
1784211148.244205,"01/01/2000,02:40:09.00,-843.26,-60.55,-521.97,0.25,-1.05,0.83,71.25,51.90,-10.80,28.56,6.71,-18.18,-993.20,271.25,-778.75,-402.50,1,53.220,"
1784211148.2850428,"01/01/2000,02:40:09.04,-854.00,-57.62,-522.95,-0.87,-2.73,-1.41,73.05,52.05,-10.20,28.41,6.83,-18.30,-993.08,288.75,-822.50,-358.75,1,53.199,"
1784211148.305543,"01/01/2000,02:40:09.06,-851.07,-51.27,-528.81,1.66,0.66,-2.24,71.40,52.50,-10.20,28.41,6.71,-18.06,-993.08,367.50,-813.75,-350.0,1,53.188,"
1784211148.3160472,"01/01/2000,02:40:09.08,-873.05,-53.22,-512.21,2.18,0.49,0.15,72.30,52.05,-9.0,28.41,6.83,-18.06,-993.20,210.0,-892.50,-332.50,1,53.266,"
1784211148.3370404,"01/01/2000,02:40:09.10,-860.35,-54.20,-521.48,1.35,-2.20,-2.05,73.05,50.85,-9.75,28.37,6.83,-17.93,-993.20,122.50,-875.0,-350.0,1,53.255,"
1784211148.3581104,"01/01/2000,02:40:09.12,-863.77,-62.50,-520.51,-0.98,-4.11,-1.83,72.45,53.40,-10.80,28.08,6.83,-17.93,-993.08,280.0,-717.50,-262.50,1,53.245,"
1784211148.368455,"01/01/2000,02:40:09.13,-858.89,-58.11,-531.25,0.76,0.48,-3.71,73.05,51.60,-10.95,28.41,6.83,-18.06,-993.20,253.75,-892.50,-245.0,1,53.234,"
1784211148.3994632,"01/01/2000,02:40:09.15,-857.42,-53.22,-537.11,1.20,0.29,-0.92,71.40,52.50,-9.45,28.41,6.83,-17.93,-993.08,350.0,-831.25,-236.25,1,53.223,"
1784211148.4098306,"01/01/2000,02:40:09.17,-857.42,-58.11,-528.81,1.52,-0.18,-2.36,71.40,51.30,-10.50,28.03,6.83,-17.81,-992.84,297.50,-901.25,-288.75,1,53.213,"
1784211148.4328427,"01/01/2000,02:40:09.19,-841.31,-54.20,-529.30,-1.45,0.08,0.34,71.40,50.40,-11.25,28.08,6.83,-17.81,-992.84,288.75,-918.75,-262.50,1,53.202,"
1784211148.4446366,"01/01/2000,02:40:09.21,-858.89,-67.87,-519.53,2.09,-0.34,1.18,71.25,52.65,-10.35,28.37,7.08,-17.93,-993.08,306.25,-840.0,-280.0,1,53.279,"
1784211148.4616108,"01/01/2000,02:40:09.23,-853.52,-60.06,-521.48,-1.25,-0.31,-0.28,72.0,51.0,-9.30,28.37,6.95,-17.81,-993.08,140.0,-813.75,-411.25,1,53.268,"
1784211148.4927812,"01/01/2000,02:40:09.25,-865.72,-54.69,-530.76,-0.79,-1.09,-0.33,72.0,51.0,-9.30,28.32,6.83,-17.81,-992.96,192.50,-778.75,-306.25,1,53.257,"
1784211148.5032687,"01/01/2000,02:40:09.26,-842.29,-60.55,-519.04,2.58,0.85,0.37,72.75,51.90,-11.10,28.41,6.83,-17.81,-992.84,280.0,-813.75,-271.25,1,53.247,"
1784211148.5240905,"01/01/2000,02:40:09.28,-847.66,-48.83,-518.55,-1.81,-0.17,-1.36,72.75,51.45,-10.80,28.37,6.83,-17.93,-993.08,227.50,-848.75,-323.75,1,53.236,"
1784211148.5553527,"01/01/2000,02:40:09.31,-866.21,-45.90,-514.16,-0.31,1.23,-0.93,73.05,52.80,-9.45,28.37,6.83,-17.93,-992.96,332.50,-778.75,-393.75,1,53.226,"
1784211148.5693884,"01/01/2000,02:40:09.33,-871.58,-51.27,-521.00,2.52,-0.82,0.09,72.30,51.30,-9.75,28.41,6.83,-18.06,-993.08,341.25,-752.50,-288.75,1,53.215,"
1784211148.586589,"01/01/2000,02:40:09.35,-863.28,-53.71,-534.67,0.67,-0.15,0.82,73.05,49.65,-10.20,28.17,6.83,-18.18,-992.96,323.75,-840.0,-280.0,1,53.205,"
