frame,time_s,timestamp,x_mm,y_mm,z_mm,roll_deg,pitch_deg,yaw_deg,matches,inliers,pnp_inlier_ratio,new_features,nearby_associations,new_landmarks,initialization_frames,initialization_candidates,initialization_confirmed,initialization_matches,landmarks,keyframe_added,keyframes,tracked
44,1.4666666666666666,1784291924.6796665,nan,nan,nan,nan,nan,nan,32,0,0.0,232,0,0,0,0,0,0,149,0,1,0
45,1.5,1784291924.7129998,nan,nan,nan,nan,nan,nan,19,0,nan,225,0,0,0,0,0,0,149,0,1,0
46,1.5333333333333334,1784291924.7463331,nan,nan,nan,nan,nan,nan,25,0,nan,239,0,0,0,0,0,0,149,0,1,0
47,1.5666666666666667,1784291924.7796664,nan,nan,nan,nan,nan,nan,26,0,nan,241,0,0,0,0,0,0,149,0,1,0
48,1.6,1784291924.8129997,nan,nan,nan,nan,nan,nan,21,0,nan,265,0,0,0,0,0,0,149,0,1,0
49,1.6333333333333333,1784291924.8463333,nan,nan,nan,nan,nan,nan,21,0,nan,275,0,0,0,0,0,0,149,0,1,0
50,1.6666666666666667,1784291924.8796666,nan,nan,nan,nan,nan,nan,26,0,nan,277,0,0,0,0,0,0,149,0,1,0
51,1.7,1784291924.9129999,nan,nan,nan,nan,nan,nan,29,0,nan,291,0,0,0,0,0,0,149,0,1,0
52,1.7333333333333334,1784291924.9463332,nan,nan,nan,nan,nan,nan,31,0,0.0,303,0,0,0,0,0,0,149,0,1,0
53,1.7666666666666666,1784291924.9796665,nan,nan,nan,nan,nan,nan,15,0,nan,335,0,0,0,0,0,0,149,0,1,0
54,1.8,1784291925.0129998,nan,nan,nan,nan,nan,nan,26,0,nan,316,0,0,0,0,0,0,149,0,1,0
55,1.8333333333333333,1784291925.046333,nan,nan,nan,nan,nan,nan,27,0,nan,326,0,0,0,0,0,0,149,0,1,0
56,1.8666666666666667,1784291925.0796664,nan,nan,nan,nan,nan,nan,14,0,nan,347,0,0,0,0,0,0,149,0,1,0
57,1.9,1784291925.113,nan,nan,nan,nan,nan,nan,15,0,nan,336,0,0,0,0,0,0,149,0,1,0
58,1.9333333333333333,1784291925.1463332,nan,nan,nan,nan,nan,nan,15,0,nan,360,0,0,0,0,0,0,149,0,1,0
59,1.9666666666666666,1784291925.1796665,nan,nan,nan,nan,nan,nan,22,0,nan,331,0,0,0,0,0,0,149,0,1,0
60,2.0,1784291925.2129998,nan,nan,nan,nan,nan,nan,14,0,nan,353,0,0,0,0,0,0,149,0,1,0
61,2.033333333333333,1784291925.2463331,nan,nan,nan,nan,nan,nan,8,0,nan,357,0,0,0,0,0,0,149,0,1,0
62,2.066666666666667,1784291925.2796664,nan,nan,nan,nan,nan,nan,11,0,nan,353,0,0,0,0,0,0,149,0,1,0
63,2.1,1784291925.3129997,nan,nan,nan,nan,nan,nan,7,0,nan,385,0,0,0,0,0,0,149,0,1,0
64,2.1333333333333333,1784291925.3463333,nan,nan,nan,nan,nan,nan,10,0,nan,369,0,0,0,0,0,0,149,0,1,0
65,2.1666666666666665,1784291925.3796666,nan,nan,nan,nan,nan,nan,10,0,nan,384,0,0,0,0,0,0,149,0,1,0
66,2.2,1784291925.4129999,nan,nan,nan,nan,nan,nan,9,0,nan,331,0,0,0,0,0,0,149,0,1,0
67,2.2333333333333334,1784291925.4463332,nan,nan,nan,nan,nan,nan,17,0,nan,348,0,0,0,0,0,0,149,0,1,0
68,2.2666666666666666,1784291925.4796665,nan,nan,nan,nan,nan,nan,11,0,nan,329,0,0,0,0,0,0,149,0,1,0
69,2.3,1784291925.5129998,nan,nan,nan,nan,nan,nan,11,0,nan,321,0,0,0,0,0,0,149,0,1,0
70,2.3333333333333335,1784291925.546333,nan,nan,nan,nan,nan,nan,10,0,nan,312,0,0,0,0,0,0,149,0,1,0
71,2.3666666666666667,1784291925.5796664,nan,nan,nan,nan,nan,nan,12,0,nan,331,0,0,0,0,0,0,149,0,1,0
72,2.4,1784291925.613,nan,nan,nan,nan,nan,nan,13,0,nan,310,0,0,0,0,0,0,149,0,1,0
73,2.433333333333333,1784291925.6463332,nan,nan,nan,nan,nan,nan,1,0,nan,343,0,0,0,0,0,0,149,0,1,0
74,2.466666666666667,1784291925.6796665,nan,nan,nan,nan,nan,nan,11,0,nan,311,0,0,0,0,0,0,149,0,1,0
75,2.5,1784291925.7129998,nan,nan,nan,nan,nan,nan,7,0,nan,314,0,0,0,0,0,0,149,0,1,0
76,2.533333333333333,1784291925.7463331,nan,nan,nan,nan,nan,nan,11,0,nan,308,0,0,0,0,0,0,149,0,1,0
77,2.566666666666667,1784291925.7796664,nan,nan,nan,nan,nan,nan,12,0,nan,341,0,0,0,0,0,0,149,0,1,0
78,2.6,1784291925.8129997,nan,nan,nan,nan,nan,nan,8,0,nan,310,0,0,0,0,0,0,149,0,1,0
79,2.6333333333333333,1784291925.8463333,nan,nan,nan,nan,nan,nan,6,0,nan,322,0,0,0,0,0,0,149,0,1,0
80,2.6666666666666665,1784291925.8796666,nan,nan,nan,nan,nan,nan,6,0,nan,316,0,0,0,0,0,0,149,0,1,0
81,2.7,1784291925.9129999,nan,nan,nan,nan,nan,nan,2,0,nan,331,0,0,0,0,0,0,149,0,1,0
82,2.7333333333333334,1784291925.9463332,nan,nan,nan,nan,nan,nan,1,0,nan,328,0,0,0,0,0,0,149,0,1,0
83,2.7666666666666666,1784291925.9796665,nan,nan,nan,nan,nan,nan,6,0,nan,296,0,0,0,0,0,0,149,0,1,0
84,2.8,1784291926.0129998,nan,nan,nan,nan,nan,nan,10,0,nan,261,0,0,0,0,0,0,149,0,1,0
85,2.8333333333333335,1784291926.046333,nan,nan,nan,nan,nan,nan,1,0,nan,288,0,0,0,0,0,0,149,0,1,0
86,2.8666666666666667,1784291926.0796664,nan,nan,nan,nan,nan,nan,9,0,nan,259,0,0,0,0,0,0,149,0,1,0
87,2.9,1784291926.113,nan,nan,nan,nan,nan,nan,6,0,nan,275,0,0,0,0,0,0,149,0,1,0
88,2.933333333333333,1784291926.1463332,nan,nan,nan,nan,nan,nan,1,0,nan,279,0,0,0,0,0,0,149,0,1,0
89,2.966666666666667,1784291926.1796665,nan,nan,nan,nan,nan,nan,2,0,nan,267,0,0,0,0,0,0,149,0,1,0
90,3.0,1784291926.2129998,nan,nan,nan,nan,nan,nan,4,0,nan,282,0,0,0,0,0,0,149,0,1,0
91,3.033333333333333,1784291926.2463331,nan,nan,nan,nan,nan,nan,7,0,nan,257,0,0,0,0,0,0,149,0,1,0
92,3.066666666666667,1784291926.2796664,nan,nan,nan,nan,nan,nan,3,0,nan,261,0,0,0,0,0,0,149,0,1,0
93,3.1,1784291926.3129997,nan,nan,nan,nan,nan,nan,10,0,nan,283,0,0,0,0,0,0,149,0,1,0
94,3.1333333333333333,1784291926.3463333,nan,nan,nan,nan,nan,nan,1,0,nan,295,0,0,0,0,0,0,149,0,1,0
95,3.1666666666666665,1784291926.3796666,nan,nan,nan,nan,nan,nan,5,0,nan,271,0,0,0,0,0,0,149,0,1,0
96,3.2,1784291926.4129999,nan,nan,nan,nan,nan,nan,3,0,nan,265,0,0,0,0,0,0,149,0,1,0
97,3.2333333333333334,1784291926.4463332,nan,nan,nan,nan,nan,nan,6,0,nan,269,0,0,0,0,0,0,149,0,1,0
98,3.2666666666666666,1784291926.4796665,nan,nan,nan,nan,nan,nan,1,0,nan,291,0,0,0,0,0,0,149,0,1,0
99,3.3,1784291926.5129998,nan,nan,nan,nan,nan,nan,1,0,nan,286,0,0,0,0,0,0,149,0,1,0
100,3.3333333333333335,1784291926.546333,nan,nan,nan,nan,nan,nan,0,0,nan,281,0,0,0,0,0,0,149,0,1,0
101,3.3666666666666667,1784291926.5796664,nan,nan,nan,nan,nan,nan,0,0,nan,295,0,0,0,0,0,0,149,0,1,0
102,3.4,1784291926.613,nan,nan,nan,nan,nan,nan,4,0,nan,296,0,0,0,0,0,0,149,0,1,0
103,3.433333333333333,1784291926.6463332,nan,nan,nan,nan,nan,nan,3,0,nan,285,0,0,0,0,0,0,149,0,1,0
104,3.466666666666667,1784291926.6796665,nan,nan,nan,nan,nan,nan,5,0,nan,296,0,0,0,0,0,0,149,0,1,0
105,3.5,1784291926.7129998,nan,nan,nan,nan,nan,nan,5,0,nan,280,0,0,0,0,0,0,149,0,1,0
106,3.533333333333333,1784291926.7463331,nan,nan,nan,nan,nan,nan,3,0,nan,307,0,0,0,0,0,0,149,0,1,0
107,3.566666666666667,1784291926.7796664,nan,nan,nan,nan,nan,nan,2,0,nan,297,0,0,0,0,0,0,149,0,1,0
108,3.6,1784291926.8129997,nan,nan,nan,nan,nan,nan,3,0,nan,283,0,0,0,0,0,0,149,0,1,0
109,3.6333333333333333,1784291926.8463333,nan,nan,nan,nan,nan,nan,6,0,nan,286,0,0,0,0,0,0,149,0,1,0
110,3.6666666666666665,1784291926.8796666,nan,nan,nan,nan,nan,nan,3,0,nan,309,0,0,0,0,0,0,149,0,1,0
111,3.7,1784291926.9129999,nan,nan,nan,nan,nan,nan,5,0,nan,297,0,0,0,0,0,0,149,0,1,0
112,3.7333333333333334,1784291926.9463332,nan,nan,nan,nan,nan,nan,6,0,nan,306,0,0,0,0,0,0,149,0,1,0
113,3.7666666666666666,1784291926.9796665,nan,nan,nan,nan,nan,nan,1,0,nan,289,0,0,0,0,0,0,149,0,1,0
114,3.8,1784291927.0129998,nan,nan,nan,nan,nan,nan,4,0,nan,281,0,0,0,0,0,0,149,0,1,0
115,3.8333333333333335,1784291927.046333,nan,nan,nan,nan,nan,nan,10,0,nan,273,0,0,0,0,0,0,149,0,1,0
116,3.8666666666666667,1784291927.0796664,nan,nan,nan,nan,nan,nan,2,0,nan,274,0,0,0,0,0,0,149,0,1,0
117,3.9,1784291927.113,nan,nan,nan,nan,nan,nan,2,0,nan,292,0,0,0,0,0,0,149,0,1,0
118,3.933333333333333,1784291927.1463332,nan,nan,nan,nan,nan,nan,3,0,nan,286,0,0,0,0,0,0,149,0,1,0
119,3.966666666666667,1784291927.1796665,nan,nan,nan,nan,nan,nan,3,0,nan,287,0,0,0,0,0,0,149,0,1,0
120,4.0,1784291927.2129998,nan,nan,nan,nan,nan,nan,1,0,nan,275,0,0,0,0,0,0,149,0,1,0
121,4.033333333333333,1784291927.2463331,nan,nan,nan,nan,nan,nan,2,0,nan,317,0,0,0,0,0,0,149,0,1,0
122,4.066666666666666,1784291927.2796664,nan,nan,nan,nan,nan,nan,2,0,nan,272,0,0,0,0,0,0,149,0,1,0
123,4.1,1784291927.3129997,nan,nan,nan,nan,nan,nan,0,0,nan,267,0,0,0,0,0,0,149,0,1,0
124,4.133333333333334,1784291927.3463333,nan,nan,nan,nan,nan,nan,1,0,nan,271,0,0,0,0,0,0,149,0,1,0
125,4.166666666666667,1784291927.3796666,nan,nan,nan,nan,nan,nan,10,0,nan,282,0,0,0,0,0,0,149,0,1,0
126,4.2,1784291927.4129999,nan,nan,nan,nan,nan,nan,0,0,nan,271,0,0,0,0,0,0,149,0,1,0
127,4.233333333333333,1784291927.4463332,nan,nan,nan,nan,nan,nan,4,0,nan,288,0,0,0,0,0,0,149,0,1,0
128,4.266666666666667,1784291927.4796665,nan,nan,nan,nan,nan,nan,4,0,nan,264,0,0,0,0,0,0,149,0,1,0
129,4.3,1784291927.5129998,nan,nan,nan,nan,nan,nan,1,0,nan,261,0,0,0,0,0,0,149,0,1,0
130,4.333333333333333,1784291927.546333,nan,nan,nan,nan,nan,nan,18,0,nan,254,0,0,0,0,0,0,149,0,1,0
131,4.366666666666666,1784291927.5796664,nan,nan,nan,nan,nan,nan,0,0,nan,275,0,0,0,0,0,0,149,0,1,0
132,4.4,1784291927.613,nan,nan,nan,nan,nan,nan,4,0,nan,260,0,0,0,0,0,0,149,0,1,0
133,4.433333333333334,1784291927.6463332,nan,nan,nan,nan,nan,nan,1,0,nan,277,0,0,0,0,0,0,149,0,1,0
134,4.466666666666667,1784291927.6796665,nan,nan,nan,nan,nan,nan,3,0,nan,293,0,0,0,0,0,0,149,0,1,0
135,4.5,1784291927.7129998,nan,nan,nan,nan,nan,nan,3,0,nan,289,0,0,0,0,0,0,149,0,1,0
136,4.533333333333333,1784291927.7463331,nan,nan,nan,nan,nan,nan,4,0,nan,298,0,0,0,0,0,0,149,0,1,0
137,4.566666666666666,1784291927.7796664,nan,nan,nan,nan,nan,nan,5,0,nan,318,0,0,0,0,0,0,149,0,1,0
138,4.6,1784291927.8129997,nan,nan,nan,nan,nan,nan,6,0,nan,307,0,0,0,0,0,0,149,0,1,0
139,4.633333333333334,1784291927.8463333,nan,nan,nan,nan,nan,nan,11,0,nan,306,0,0,0,0,0,0,149,0,1,0
140,4.666666666666667,1784291927.8796666,nan,nan,nan,nan,nan,nan,13,0,nan,310,0,0,0,0,0,0,149,0,1,0
141,4.7,1784291927.9129999,nan,nan,nan,nan,nan,nan,9,0,nan,294,0,0,0,0,0,0,149,0,1,0
142,4.733333333333333,1784291927.9463332,nan,nan,nan,nan,nan,nan,14,0,nan,280,0,0,0,0,0,0,149,0,1,0
143,4.766666666666667,1784291927.9796665,nan,nan,nan,nan,nan,nan,26,0,nan,259,0,0,0,0,0,0,149,0,1,0
144,4.8,1784291928.0129998,nan,nan,nan,nan,nan,nan,14,0,nan,291,0,0,0,0,0,0,149,0,1,0
145,4.833333333333333,1784291928.046333,nan,nan,nan,nan,nan,nan,14,0,nan,298,0,0,0,0,0,0,149,0,1,0
146,4.866666666666666,1784291928.0796664,nan,nan,nan,nan,nan,nan,13,0,nan,295,0,0,0,0,0,0,149,0,1,0
147,4.9,1784291928.113,nan,nan,nan,nan,nan,nan,8,0,nan,305,0,0,0,0,0,0,149,0,1,0
148,4.933333333333334,1784291928.1463332,nan,nan,nan,nan,nan,nan,10,0,nan,275,0,0,0,0,0,0,149,0,1,0
149,4.966666666666667,1784291928.1796665,nan,nan,nan,nan,nan,nan,9,0,nan,324,0,0,0,0,0,0,149,0,1,0
150,5.0,1784291928.2129998,nan,nan,nan,nan,nan,nan,9,0,nan,288,0,0,0,0,0,0,149,0,1,0
151,5.033333333333333,1784291928.2463331,nan,nan,nan,nan,nan,nan,15,0,nan,304,0,0,0,0,0,0,149,0,1,0
152,5.066666666666666,1784291928.2796664,nan,nan,nan,nan,nan,nan,7,0,nan,329,0,0,0,0,0,0,149,0,1,0
153,5.1,1784291928.3129997,nan,nan,nan,nan,nan,nan,7,0,nan,317,0,0,0,0,0,0,149,0,1,0
154,5.133333333333334,1784291928.3463333,nan,nan,nan,nan,nan,nan,18,0,nan,302,0,0,0,0,0,0,149,0,1,0
155,5.166666666666667,1784291928.3796666,nan,nan,nan,nan,nan,nan,29,0,nan,311,0,0,0,0,0,0,149,0,1,0
156,5.2,1784291928.4129999,nan,nan,nan,nan,nan,nan,15,0,nan,311,0,0,0,0,0,0,149,0,1,0
